Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000000000000000000000000003cfdff7dc000000000008000800040010000800000014000bfc003c0000000000000000000000000033333c003ffffc0000016000582eabb050d9503c50d9503c50d9503c50d9503c40508a601ea1087f20fdb8bae828821f,e828821f,20fdb8ba,1ea1087f,40508a60,50d9503c,50d9503c,50d9503c,50d9503c,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,0005,0000,0002,0004,0001,0002,0002,00,00,00,00,f7,fd,f7,f3,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
1,1,0,00000000000000000000000000000000000000003cbd3c3d00000080000200014002800040000000000080013fc003c0000000000000000000000000033333c003ffffc0000016000582e22a050da503c50da503c50da503c50da503cdd0b6fc211f6990e1be7bc408cbd5083,8cbd5083,1be7bc40,11f6990e,dd0b6fc2,50da503c,50da503c,50da503c,50da503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0004,0002,0000,0000,0001,000a,0005,0008,00,02,00,00,f4,f0,f4,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
2,2,0,00000000000000000000000000000000000000003e3fffbcc0004000000340030000c0020002c00340008000bfc003c0000000000000000000000000033333c003ffffc0000016000582e22a050db503c50db503c50db503c50db503c95749c5c44c53003c10faadd61710c40,61710c40,c10faadd,44c53003,95749c5c,50db503c,50db503c,50db503c,50db503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,0002,000d,000b,0008,0003,000c,000d,00,00,01,00,f3,fe,ff,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
3,3,0,00000000000000000000000000000000000000003d7f7f7c8000000000010003c0024002c001400240024000bfc003c0000000000000000000000000033333c003ffffc0000016000582fbbb050dc503c50dc503c50dc503c50dc503cb8baa3eda53796245b916b9589cdb590,89cdb590,5b916b95,a5379624,b8baa3ed,50dc503c,50dc503c,50dc503c,50dc503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,0009,0009,0005,000b,0009,000f,0004,00,00,00,00,f2,fd,fd,f5,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
4,4,0,00000000000000000000000000000000000000003fbebebe800000000001c000000200008000800000028000bfc003c0000000000000000000000000033333c003ffffc0000016000582fbbb050dd503c50dd503c50dd503c50dd503c6007d56e7fb3ee28baa3edd21f043b56,1f043b56,baa3edd2,7fb3ee28,6007d56e,50dd503c,50dd503c,50dd503c,50dd503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,000a,0000,0002,0002,0008,0000,0007,00,00,00,00,fa,fa,fa,fe,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
5,5,0,00000000000000000000000000000000000000003dfd3cfc000000000001c002000080030000c000000080003fc003c0000000000000000000000000033333c003ffffc0000016000582eabb050de503c50de503c50de503c50de503cc24885ca0e5f01dd40508a6083f76437,83f76437,40508a60,0e5f01dd,c24885ca,50de503c,50de503c,50de503c,50de503c,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0002,0000,0003,000c,0002,0008,0007,00,00,00,00,f0,f3,f4,f7,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
6,6,0,00000000000000000000000000000000000000003dbf3cbf00020000000200018002000140020003000000013fc003c0000000000000000000000000033333c003ffffc0000016000582e22a050df503c50df503c50df503c50df503c5c10fe4603ea28e2dd0b6fc240fa5914,40fa5914,dd0b6fc2,03ea28e2,5c10fe46,50df503c,50df503c,50df503c,50df503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0004,0000,000c,0008,0005,0008,0006,0008,00,00,08,00,fc,f2,fc,f6,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
7,7,0,00000000000000000000000000000000000000003e7fbe3d800000000000800280034002800200038002c0003fc003c0000000000000000000000000033333c003ffffc00000160b0582e22a050e0503c50e0503c50e0503c50e0503cedd29cbe24c2e5ed95749c5c9070f9b8,9070f9b8,95749c5c,24c2e5ed,edd29cbe,50e0503c,50e0503c,50e0503c,50e0503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,000b,000e,0008,000a,000d,000a,0002,00,00,00,00,f6,f8,fe,f9,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
8,8,0,00000000000000000000000000000000000000003fff7d7f400000000002c0020001000040024000000140027fc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb050e1503c50e1503c50e1503c50e1503c8a6007d5087fb3eeb8baa3ed821f043b,821f043b,b8baa3ed,087fb3ee,8a6007d5,50e1503c,50e1503c,50e1503c,50e1503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0009,0005,0000,0009,0001,0004,0008,000b,00,00,00,00,fd,f5,fd,ff,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
