Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0f8215970f8215970f8215970f821597901d9b3f38df2c01901d9b3f38df2c01,38df2c01,38df2c01,901d9b3f,901d9b3f,38df2c01,38df2c01,901d9b3f,901d9b3f,0f821597,0f821597,0f821597,0f821597,0f821597,0f821597,0f821597,0f821597,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
1,1,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f3a36a9873a36a9873a36a9873a36a987229f09b750dabbec229f09b750dabbec,50dabbec,50dabbec,229f09b7,229f09b7,50dabbec,50dabbec,229f09b7,229f09b7,3a36a987,3a36a987,3a36a987,3a36a987,3a36a987,3a36a987,3a36a987,3a36a987,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
2,2,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ffa8208f2fa8208f2fa8208f2fa8208f2dc44eb496a302cf3dc44eb496a302cf3,6a302cf3,6a302cf3,dc44eb49,dc44eb49,6a302cf3,6a302cf3,dc44eb49,dc44eb49,fa8208f2,fa8208f2,fa8208f2,fa8208f2,fa8208f2,fa8208f2,fa8208f2,fa8208f2,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
3,3,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7b1ba6fe7f13ac2e6b37be6e7f13b6fefc3a7ffb6ad1249afc3a7ffb6ad1249a,6ad1249a,6ad1249a,fc3a7ffb,fc3a7ffb,6ad1249a,6ad1249a,fc3a7ffb,fc3a7ffb,7f13b6fe,7f13b6fe,6b37be6e,6b37be6e,7f13ac2e,7f13ac2e,7b1ba6fe,7b1ba6fe,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
4,4,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f6a1b66586a1b66586a1b66586a1b6658f8af51200f485755f8af51200f485755,0f485755,0f485755,f8af5120,f8af5120,0f485755,0f485755,f8af5120,f8af5120,6a1b6658,6a1b6658,6a1b6658,6a1b6658,6a1b6658,6a1b6658,6a1b6658,6a1b6658,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
5,5,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe5c61e2fe5c61e2fe5c61e2fe5c61e2f5e25f2d3275fe6885e25f2d3275fe688,275fe688,275fe688,5e25f2d3,5e25f2d3,275fe688,275fe688,5e25f2d3,5e25f2d3,e5c61e2f,e5c61e2f,e5c61e2f,e5c61e2f,e5c61e2f,e5c61e2f,e5c61e2f,e5c61e2f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
6,6,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd65aa8ebd65aa8ebd65aa8ebd65aa8eba1ae83b672fd52caa1ae83b672fd52ca,72fd52ca,72fd52ca,a1ae83b6,a1ae83b6,72fd52ca,72fd52ca,a1ae83b6,a1ae83b6,d65aa8eb,d65aa8eb,d65aa8eb,d65aa8eb,d65aa8eb,d65aa8eb,d65aa8eb,d65aa8eb,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
7,7,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f229ea453229ea453229ea453229ea453356c0763e823811b356c0763e823811b,e823811b,e823811b,356c0763,356c0763,e823811b,e823811b,356c0763,356c0763,229ea453,229ea453,229ea453,229ea453,229ea453,229ea453,229ea453,229ea453,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
8,8,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f304426c826c42e4830a02e4824c426caa1d5afc0a97bdb1da1d5afc0a97bdb1d,a97bdb1d,a97bdb1d,a1d5afc0,a1d5afc0,a97bdb1d,a97bdb1d,a1d5afc0,a1d5afc0,24c426ca,24c426ca,30a02e48,30a02e48,26c42e48,26c42e48,304426c8,304426c8,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
