Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22af47542bd147542bd147542bd147542bd1f36b199bf36b199bf36b199bf36b199b,f36b199b,f36b199b,f36b199b,f36b199b,47542bd1,47542bd1,47542bd1,47542bd1,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
1,1,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e32af2d98037e2d98037e2d98037e2d98037eed70564ded70564ded70564ded70564d,ed70564d,ed70564d,ed70564d,ed70564d,2d98037e,2d98037e,2d98037e,2d98037e,f,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
2,2,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf9338198b9338198b9338198b9338198b95825e1495825e1495825e1495825e14,95825e14,95825e14,95825e14,95825e14,9338198b,9338198b,9338198b,9338198b,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
3,3,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbfe728e164e76be065c768b151e728fd6d7e22b9a17e22b9a17e22b9a17e22b9a1,7e22b9a1,7e22b9a1,7e22b9a1,7e22b9a1,e728fd6d,c768b151,e76be065,e728e164,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
4,4,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bf792421537924215379242153792421535d8d55f35d8d55f35d8d55f35d8d55f3,5d8d55f3,5d8d55f3,5d8d55f3,5d8d55f3,79242153,79242153,79242153,79242153,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
5,5,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22afc879769dc879769dc879769dc879769d6243f2f36243f2f36243f2f36243f2f3,6243f2f3,6243f2f3,6243f2f3,6243f2f3,c879769d,c879769d,c879769d,c879769d,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
6,6,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e32af307355513073555130735551307355518e6785a48e6785a48e6785a48e6785a4,8e6785a4,8e6785a4,8e6785a4,8e6785a4,30735551,30735551,30735551,30735551,f,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
7,7,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf390eeca8390eeca8390eeca8390eeca8c85bdd0dc85bdd0dc85bdd0dc85bdd0d,c85bdd0d,c85bdd0d,c85bdd0d,c85bdd0d,390eeca8,390eeca8,390eeca8,390eeca8,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
8,8,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbfee2eb632ee6f97b2ee6e36e6ee2e96723a71d4653a71d4653a71d4653a71d465,3a71d465,3a71d465,3a71d465,3a71d465,ee2e9672,ee6e36e6,ee6f97b2,ee2eb632,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
