Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,1549d3d260000b000bc0006300000000593b492316f1effc
1,1,0,1549d3d261000b000bc000630000000016f1effc15e816fe
2,2,0,1549d3d262000b000bc000630000000015e816fe845575ef
3,3,0,1549d3d263000b000bc0006300000000845575efd5901256
4,4,0,1549d3d264000b000bc0006300000000d5901256086ef7f1
5,5,0,1549d3d265000b000bc0006300000000086ef7f17b4e6b78
6,6,0,1549d3d266000b000bc00063000000007b4e6b7885ec2cf4
7,7,0,1549d3d267000b000bc000630000000085ec2cf415572b4a
8,8,0,1549d3d268000b000bc000630000000015572b4a140118ee
9,9,0,1549d3d269000b000bc0006300000000140118ee94bf6206
10,10,0,1549d3d26a000b000bc000630000000094bf62067cebb8dc
11,11,0,1549d3d26b000b000bc00063000000007cebb8dc0644981c
12,12,0,1549d3d26c000b000bc00063000000000644981cfcb9fa70
13,13,0,1549d3d26d000b000bc0006300000000fcb9fa708e689d60
14,14,0,1549d3d26e000b000bc00063000000008e689d60a02d3899
15,15,0,1549d3d26f000b000bc0006300000000a02d389905ebb03a
16,16,0,1549d3d270000b000bc000630000000005ebb03a6d549ce1
17,17,0,1549d3d271000b000bc00063000000006d549ce15f80f841
18,18,0,1549d3d272000b000bc00063000000005f80f841e5c78c5b
19,19,0,1549d3d273000b000bc0006300000000e5c78c5b73404117
20,20,0,1549d3d274000b000bc000630000000073404117116bdb65
21,21,0,1549d3d275000b000bc0006300000000116bdb65c65caffb
22,22,0,1549d3d276000b000bc0006300000000c65caffbc0b462fd
23,23,0,1549d3d277000b000bc0006300000000c0b462fd73ae88ae
24,24,0,1549d3d278000b000bc000630000000073ae88aee1125322
25,25,0,1549d3d279000b000bc0006300000000e11253224167f35c
26,26,0,1549d3d27a000b000bc00063000000004167f35c9b5a7964
27,27,0,1549d3d27b000b000bc00063000000009b5a79648be764db
28,28,0,1549d3d27c000b000bc00063000000008be764dbc2b23bdf
29,29,0,1549d3d27d000b000bc0006300000000c2b23bdfc28dc1ad
30,30,0,1549d3d27e000b000bc0006300000000c28dc1ad2291c333
31,31,0,1549d3d27f000b000bc00063000000002291c3333c9e0255
32,32,0,1549d3d280000b000bc00063000000003c9e0255e2791ef0
33,33,0,1549d3d281000b000bc0006300000000e2791ef000e4e168
34,34,0,1549d3d282000b000bc000630000000000e4e168af83c15d
