Sample in Buffer,Sample in Window,TRIGGER,mgt_sfp_inst/ila_data_rx[191:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,000000000000000000030000000000ff487e10677f4716ca
1,1,0,000000000000000000030000000000ff7f4716caa7a805f6
2,2,0,000000000000000000030000000000ffa7a805f696517d5b
3,3,0,000000000000000000030000000000ff96517d5b4db25687
4,4,0,000000000000000000030000000000ff4db256879dfdf1d4
5,5,0,000000000000000000030000000000ff9dfdf1d438ded808
6,6,0,000000000000000000030000000000ff38ded808d01d7e7b
7,7,0,000000000000000000030000000000ffd01d7e7b4af09725
8,8,0,000000000000000000030000000000ff4af09725ae28bd1f
9,9,0,000000000000000000030000000000ffae28bd1f32092aa1
10,10,0,000000000000000000030000000000ff32092aa135dbf805
11,11,0,000000000000000000030000000000ff35dbf805b64fbc7d
12,12,0,000000000000000000030000000000ffb64fbc7dcfbcda06
13,13,0,000000000000000000030000000000ffcfbcda0654da5f5c
14,14,0,000000000000000000030000000000ff54da5f5c90df75a4
15,15,0,000000000000000000030000000000ff90df75a44e9db277
16,16,0,000000000000000000030000000000ff4e9db2776c58fde3
17,17,0,000000000000000000030000000000ff6c58fde3cf160ed0
18,18,0,000000000000000000030000000000ffcf160ed03485987a
19,19,0,000000000000000000030000000000ff3485987a36f56a45
20,20,0,000000000000000000030000000000ff36f56a45f7ea1c79
21,21,0,000000000000000000030000000000fff7ea1c79cb745004
22,22,0,000000000000000000030000000000ffcb745004c6f292fd
23,23,0,000000000000000000030000000000ffc6f292fd70e99fae
24,24,0,000000000000000000030000000000ff70e99faee085a9d2
25,25,0,000000000000000000030000000000ffe085a9d2b1b5718b
26,26,0,000000000000000000030000000000ffb1b5718b8c3e1022
27,27,0,000000000000000000030000000000ff8c3e1022712316ec
28,28,0,000000000000000000030000000000ff712316ec307c45e7
29,29,0,000000000000000000030000000000ff307c45e7c4c61952
30,30,0,000000000000000000030000000000ffc4c6195221d092c3
31,31,0,000000000000000000030000000000ff21d092c3cd0abfb2
32,32,0,000000000000000000030000000000ffcd0abfb2c5aa0bdd
33,33,0,000000000000000000030000000000ffc5aa0bdd51705aac
34,34,0,000000000000000000030000000000ff51705aac6250d703
35,35,0,000000000000000000030000000000ff6250d70328f2990e
36,36,0,000000000000000000030000000000ff28f2990e69099ae8
37,37,0,000000000000000000030000000000ff69099ae81debab25
38,38,0,000000000000000000030000000000ff1debab2580d490df
39,39,0,000000000000000000030000000000ff80d490dfe798fe9d
40,40,0,000000000000000000030000000000ffe798fe9d024a0f58
41,41,0,000000000000000000030000000000ff024a0f589efe58a6
42,42,0,000000000000000000030000000000ff9efe58a6d96f3626
43,43,0,000000000000000000030000000000ffd96f36267ede978e
44,44,0,000000000000000000030000000000ff7ede978ec77d5d40
45,45,0,000000000000000000030000000000ffc77d5d40a036848b
46,46,0,000000000000000000030000000000ffa036848b85e7d5f2
47,47,0,000000000000000000030000000000ff85e7d5f2a5526859
48,48,0,000000000000000000030000000000ffa5526859c703ed56
49,49,0,000000000000000000030000000000ffc703ed56000e3781
50,50,0,000000000000000000030000000000ff000e37810ff80747
51,51,0,000000000000000000030000000000ff0ff8074778fc7c28
52,52,0,000000000000000000030000000000ff78fc7c28d40e0629
53,53,0,000000000000000000030000000000ffd40e062988b81c89
54,54,0,000000000000000000030000000000ff88b81c8903287073
55,55,0,000000000000000000030000000000ff032870736e5940c1
56,56,0,000000000000000000030000000000ff6e5940c17e36cb93
57,57,0,000000000000000000030000000000ff7e36cb93b707f68f
58,58,0,000000000000000000030000000000ffb707f68faf0c7bd0
59,59,0,000000000000000000030000000000ffaf0c7bd0028905aa
60,60,0,000000000000000000030000000000ff028905aafe93ed70
61,61,0,000000000000000000030000000000fffe93ed708f5f3790
62,62,0,000000000000000000030000000000ff8f5f379050a5974e
63,63,0,000000000000000000030000000000ff50a5974e12a76d2c
64,64,0,000000000000000000030000000000ff12a76d2cc7863fbb
65,65,0,000000000000000000030000000000ffc7863fbb804483d9
66,66,0,000000000000000000030000000000ff804483d957d9f62e
67,67,0,000000000000000000030000000000ff57d9f62e716e9b8a
68,68,0,000000000000000000030000000000ff716e9b8ae05e5b82
