Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa877bac0a876fac0a876bac0a876bac01e4c56756eb17c85d13d11a21e4c5675
1,1,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fdd144076dd144076dd144076dd1440768cdca20b94dd18f6115c64da8cdca20b
2,2,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1086707c1086707c1086707c1086707c342f478778b780eca6aaa844342f4787
3,3,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000faf5bd949af5bd949af5bd949af5bd9491d6178fc4ca80ff81099540e1d6178fc
4,4,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe2f70ae9e2f70ae9e2f70ae9e2f70ae9a37bcb891bde2f0c3151a613e37bea09
5,5,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb611c21df411c21df411c21df411c21d979ae759ed66ecd6dd4b2226979ae759
6,6,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa5bdeceda5bdeceda5bdeceda5bdeced0423473e31887e4a4dac68130423473e
7,7,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fef209554ef209554ef209554ef209554a157b4abc5ed30bfa5415ee0a157b4ab
8,8,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f798d636a798d636a798d636a798d636aba1ff6abf56da664a951fbc0ba1ff6ab
9,9,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f8727eae08727eae08727eae08727eae0d6141bc9ee1564f24e94b3a796143bc9
10,10,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ffa3423eb983423eb98342beb983423eba005f152e3848cc215fd5843a005f152
11,11,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f310167e8310167e8310167e8310167e8a9a2a24d0d198a21f1b484fda9a2a24d
12,12,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fbea1a4edbea1a4edbea1a4edbea1a4edf3e2d9a01b5044385930beb5f3e2d9a0
13,13,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f6304699c6304699c6304699c6304699c133ca393ac06761b8752640f133ca393
14,14,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1fd1763e1fd1763e1fd1763e1fd1763e77bea6537a675a1a735f472377be8753
15,15,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ffe2ede2fde2ede2fde2ede2fde2ede2fdb3e37f69ad88010afd3077bdb3e37f6
16,16,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc82bac2bc82bac2bc82bac2bc82bac2b2bf7c6b3d25b1089b8bb60cd2bf7c6b3
17,17,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc05f477bc05f477bc05f477bc05f477b8a6f68f467da625c126ebd0a8a6f68f4
18,18,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f89ea088d89ea088d89ea088d89ea088de71b2d9d81f74d690203dbe8e71b2d9d
19,19,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fede24ec6ede24ec6ede24ec6ede24ec6151f3f3a856d252f6523d391151b3f3a
