Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,072c2bdfa9000c000cc000630000000009142bf709142bf7,09142bf7,09142bf7,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfa9
1,1,0,072c2bdfaa000c000cc0006300000000cbe4a8bbcbe4a8bb,cbe4a8bb,cbe4a8bb,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfaa
2,2,0,072c2bdfab000c000cc000630000000086b3e12986b3e129,86b3e129,86b3e129,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfab
3,3,0,072c2bdfac000c000cc0006300000000a4cd3179a4cd3179,a4cd3179,a4cd3179,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfac
4,4,0,072c2bdfad000c000cc0006300000000e7d5b454e7d5b454,e7d5b454,e7d5b454,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfad
5,5,0,072c2bdfae000c000cc000630000000082687e9082687e90,82687e90,82687e90,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfae
6,6,0,072c2bdfaf000c000cc000630000000056ed475e56ed475e,56ed475e,56ed475e,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfaf
7,7,0,072c2bdfb0000c000cc000630000000001e7882501e78825,01e78825,01e78825,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb0
8,8,0,072c2bdfb1000c000cc00063000000008f12436f8f12436f,8f12436f,8f12436f,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb1
9,9,0,072c2bdfb2000c000cc00063000000005087fa7e5087fa7e,5087fa7e,5087fa7e,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb2
10,10,0,072c2bdfb3000c000cc000630000000022b47d6722b47d67,22b47d67,22b47d67,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb3
11,11,0,072c2bdfb4000c000cc00063000000004c8e869a4c8e869a,4c8e869a,4c8e869a,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb4
12,12,0,072c2bdfb5000c000cc0006300000000ed7054dbed7054db,ed7054db,ed7054db,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb5
13,13,0,072c2bdfb6000c000cc0006300000000f790d0dff790d0df,f790d0df,f790d0df,0000,0000,63,00,0,0,0,3,000c,000c,072c2bdfb6
