Sample in Buffer,Sample in Window,TRIGGER,ila_data_tx[191:0],userdata_tx_0[31:0],userdata_tx_1[31:0],ch0_txctrl2[7:0],ch1_txctrl2[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000000000000000000000005cf64b255cf64b25,5cf64b25,5cf64b25,00,00
1,1,0,00000000000000000000000000000000a44bbedfa44bbedf,a44bbedf,a44bbedf,00,00
2,2,0,00000000000000000000000000000000f79e9b7df79e9b7d,f79e9b7d,f79e9b7d,00,00
3,3,0,00000000000000000000000000000000eb495bf6eb495bf6,eb495bf6,eb495bf6,00,00
4,4,0,00000000000000000000000000000000b4efc7bbb4efc7bb,b4efc7bb,b4efc7bb,00,00
5,5,0,00000000000000000000000000000000bec6e059bec6e059,bec6e059,bec6e059,00,00
6,6,0,00000000000000000000000000000000cb70e1d6cb70e1d6,cb70e1d6,cb70e1d6,00,00
7,7,0,0000000000000000000000000000000086f0810986f08109,86f08109,86f08109,00,00
8,8,0,0000000000000000000000000000000084e8b76b84e8b76b,84e8b76b,84e8b76b,00,00
9,9,0,0000000000000000000000000000000075c52f3c75c52f3c,75c52f3c,75c52f3c,00,00
10,10,0,00000000000000000000000000000000e2413a92e2413a92,e2413a92,e2413a92,00,00
11,11,0,00000000000000000000000000000000f0fb711ff0fb711f,f0fb711f,f0fb711f,00,00
12,12,0,00000000000000000000000000000000188df061188df061,188df061,188df061,00,00
13,13,0,00000000000000000000000000000000e231d8c9e231d8c9,e231d8c9,e231d8c9,00,00
14,14,0,0000000000000000000000000000000070c40e1770c40e17,70c40e17,70c40e17,00,00
15,15,0,000000000000000000000000000000001091b8151091b815,1091b815,1091b815,00,00
16,16,0,00000000000000000000000000000000b6be3874b6be3874,b6be3874,b6be3874,00,00
17,17,0,000000000000000000000000000000008fcb00428fcb0042,8fcb0042,8fcb0042,00,00
18,18,0,0000000000000000000000000000000010e6cfda10e6cfda,10e6cfda,10e6cfda,00,00
19,19,0,000000000000000000000000000000008682f4ef8682f4ef,8682f4ef,8682f4ef,00,00
20,20,0,00000000000000000000000000000000d4d6aac6d4d6aac6,d4d6aac6,d4d6aac6,00,00
21,21,0,0000000000000000000000000000000098d9c03098d9c030,98d9c030,98d9c030,00,00
22,22,0,00000000000000000000000000000000fa1e83e4fa1e83e4,fa1e83e4,fa1e83e4,00,00
23,23,0,000000000000000000000000000000003d5156333d515633,3d515633,3d515633,00,00
24,24,0,000000000000000000000000000000003282418532824185,32824185,32824185,00,00
25,25,0,000000000000000000000000000000003596fb253596fb25,3596fb25,3596fb25,00,00
26,26,0,00000000000000000000000000000000966deddf966deddf,966deddf,966deddf,00,00
27,27,0,00000000000000000000000000000000edafd7cdedafd7cd,edafd7cd,edafd7cd,00,00
