Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[255:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,fa44503c,5b491c6b503c1c6b503c05b9503cfa46e56aa09d6aa0503c05bb503cfa44503c,fa44503c,05bb503c,05bb503c,6aa0503c,6aa0503c,e56aa09d,e56aa09d,503cfa46,503cfa46,503c05b9,503c05b9,503c1c6b,503c1c6b,5b491c6b,5b491c6b
1,1,0,fa45503c,76db4b39503c4b39503c05b8503cfa4765781b24781b503c05ba503cfa45503c,fa45503c,05ba503c,05ba503c,781b503c,781b503c,65781b24,65781b24,503cfa47,503cfa47,503c05b8,503c05b8,503c4b39,503c4b39,76db4b39,76db4b39
2,2,0,fa46503c,3ee54599503c4599503c05b7503cfa48fac4bbfed4b3503c05b9503cfa46503c,fa46503c,05b9503c,05b9503c,d4b3503c,d4b3503c,fac4bbfe,fac4bbfe,503cfa48,503cfa48,503c05b7,503c05b7,503c4599,503c4599,3ee54599,3ee54599
3,3,0,fa47503c,03ae209a503c209a503c05b6503cfa498d339a25339a503c05b8503cfa47503c,fa47503c,05b8503c,05b8503c,339a503c,339a503c,8d339a25,8d339a25,503cfa49,503cfa49,503c05b6,503c05b6,503c209a,503c209a,03ae209a,03ae209a
4,4,0,fa48503c,34296a51503c6a51503c05b5503cfa4acdca07ebca07503c05b7503cfa48503c,fa48503c,05b7503c,05b7503c,ca07503c,ca07503c,cdca07eb,cdca07eb,503cfa4a,503cfa4a,503c05b5,503c05b5,503c6a51,503c6a51,34296a51,34296a51
5,5,0,fa49503c,49351268503c1268503c05b4503cfa4bb1b5fe1ab5fe503c05b6503cfa49503c,fa49503c,05b6503c,05b6503c,b5fe503c,b5fe503c,b1b5fe1a,b1b5fe1a,503cfa4b,503cfa4b,503c05b4,503c05b4,503c1268,503c1268,49351268,49351268
6,6,0,fa4a503c,8d8a888b503c888b503c05b3503cfa4c60763a28763a503c05b5503cfa4a503c,fa4a503c,05b5503c,05b5503c,763a503c,763a503c,60763a28,60763a28,503cfa4c,503cfa4c,503c05b3,503c05b3,503c888b,503c888b,8d8a888b,8d8a888b
7,7,0,fa4b503c,706be379503ce379503c05b2503cfa4d2907b301179b503c05b4503cfa4b503c,fa4b503c,05b4503c,05b4503c,179b503c,179b503c,2907b301,2907b301,503cfa4d,503cfa4d,503c05b2,503c05b2,503ce379,503ce379,706be379,706be379
8,8,0,fa4c503c,959401ec503c01ec503c05b1503cfa4e234b01a24b01503c05b3503cfa4c503c,fa4c503c,05b3503c,05b3503c,4b01503c,4b01503c,234b01a2,234b01a2,503cfa4e,503cfa4e,503c05b1,503c05b1,503c01ec,503c01ec,959401ec,959401ec
9,9,0,fa4d503c,397073db503c73db503c05b0503cfa4fc7d1f797d1f7503c05b2503cfa4d503c,fa4d503c,05b2503c,05b2503c,d1f7503c,d1f7503c,c7d1f797,c7d1f797,503cfa4f,503cfa4f,503c05b0,503c05b0,503c73db,503c73db,397073db,397073db
10,10,0,fa4e503c,b8c4b234503cb234503c05af503cfa50bd6bbd586bbd503c05b1503cfa4e503c,fa4e503c,05b1503c,05b1503c,6bbd503c,6bbd503c,bd6bbd58,bd6bbd58,503cfa50,503cfa50,503c05af,503c05af,503cb234,503cb234,b8c4b234,b8c4b234
11,11,0,fa4f503c,2d31bc0a503cbc0a503c05ae503cfa514561b3e461b3503c05b0503cfa4f503c,fa4f503c,05b0503c,05b0503c,61b3503c,61b3503c,4561b3e4,4561b3e4,503cfa51,503cfa51,503c05ae,503c05ae,503cbc0a,503cbc0a,2d31bc0a,2d31bc0a
12,12,0,fa50503c,1552bf31503cbf31503c05ad503cfa527fde9dbbde8d503c05af503cfa50503c,fa50503c,05af503c,05af503c,de8d503c,de8d503c,7fde9dbb,7fde9dbb,503cfa52,503cfa52,503c05ad,503c05ad,503cbf31,503cbf31,1552bf31,1552bf31
13,13,0,fa51503c,016be730503ce730503c05ac503cfa531149d02f49d0503c05ae503cfa51503c,fa51503c,05ae503c,05ae503c,49d0503c,49d0503c,1149d02f,1149d02f,503cfa53,503cfa53,503c05ac,503c05ac,503ce730,503ce730,016be730,016be730
14,14,0,fa52503c,1fc2c247503cc247503c05ab503cfa541a8c99758c99503c05ad503cfa52503c,fa52503c,05ad503c,05ad503c,8c99503c,8c99503c,1a8c9975,1a8c9975,503cfa54,503cfa54,503c05ab,503c05ab,503cc247,503cc247,1fc2c247,1fc2c247
15,15,0,fa53503c,1eceb4e5503cb4e5503c05aa503cfa551b94ebf194eb503c05ac503cfa53503c,fa53503c,05ac503c,05ac503c,94eb503c,94eb503c,1b94ebf1,1b94ebf1,503cfa55,503cfa55,503c05aa,503c05aa,503cb4e5,503cb4e5,1eceb4e5,1eceb4e5
16,16,0,fa54503c,06757364503c7364503c05a9503cfa560670733e7073503c05ab503cfa54503c,fa54503c,05ab503c,05ab503c,7073503c,7073503c,0670733e,0670733e,503cfa56,503cfa56,503c05a9,503c05a9,503c7364,503c7364,06757364,06757364
17,17,0,fa55503c,fe1bfd5c503cfd5c503c05a8503cfa573e8f2b100f2b503c05aa503cfa55503c,fa55503c,05aa503c,05aa503c,0f2b503c,0f2b503c,3e8f2b10,3e8f2b10,503cfa57,503cfa57,503c05a8,503c05a8,503cfd5c,503cfd5c,fe1bfd5c,fe1bfd5c
18,18,0,fa56503c,c91e5195503c5195503c05a7503cfa58335dfb6b5dfb503c05a9503cfa56503c,fa56503c,05a9503c,05a9503c,5dfb503c,5dfb503c,335dfb6b,335dfb6b,503cfa58,503cfa58,503c05a7,503c05a7,503c5195,503c5195,c91e5195,c91e5195
19,19,0,fa57503c,404d51ec503c51ec503c05a6503cfa59e3c849f7c849503c05a8503cfa57503c,fa57503c,05a8503c,05a8503c,c849503c,c849503c,e3c849f7,e3c849f7,503cfa59,503cfa59,503c05a6,503c05a6,503c51ec,503c51ec,404d51ec,404d51ec
20,20,0,fa58503c,f28d8ea6503c8ea6503c05a5503cfa5adc93d2c093d2503c05a7503cfa58503c,fa58503c,05a7503c,05a7503c,93d2503c,93d2503c,dc93d2c0,dc93d2c0,503cfa5a,503cfa5a,503c05a5,503c05a5,503c8ea6,503c8ea6,f28d8ea6,f28d8ea6
21,21,0,fa59503c,5d90a6a9503ca6a9503c05a4503cfa5b83e50955e509503c05a6503cfa59503c,fa59503c,05a6503c,05a6503c,e509503c,e509503c,83e50955,83e50955,503cfa5b,503cfa5b,503c05a4,503c05a4,503ca6a9,503ca6a9,5d90a6a9,5d90a6a9
22,22,0,fa5a503c,d2d56cb4503c6cb4503c05a3503cfa5c7e27a72bb78f503c05a5503cfa5a503c,fa5a503c,05a5503c,05a5503c,b78f503c,b78f503c,7e27a72b,7e27a72b,503cfa5c,503cfa5c,503c05a3,503c05a3,503c6cb4,503c6cb4,d2d56cb4,d2d56cb4
23,23,0,fa5b503c,ed8b5f59503c5f59503c05a2503cfa5da308bd0508bd503c05a4503cfa5b503c,fa5b503c,05a4503c,05a4503c,08bd503c,08bd503c,a308bd05,a308bd05,503cfa5d,503cfa5d,503c05a2,503c05a2,503c5f59,503c5f59,ed8b5f59,ed8b5f59
24,24,0,fa5c503c,e20909d1503c09d1503c05a1503cfa5ee243b49d43b4503c05a3503cfa5c503c,fa5c503c,05a3503c,05a3503c,43b4503c,43b4503c,e243b49d,e243b49d,503cfa5e,503cfa5e,503c05a1,503c05a1,503c09d1,503c09d1,e20909d1,e20909d1
25,25,0,fa5d503c,471dec10503cec10503c05a0503cfa5fc60eb5870eb5503c05a2503cfa5d503c,fa5d503c,05a2503c,05a2503c,0eb5503c,0eb5503c,c60eb587,c60eb587,503cfa5f,503cfa5f,503c05a0,503c05a0,503cec10,503cec10,471dec10,471dec10
26,26,0,fa5e503c,1718a6cd503ca6cd503c059f503cfa60848777298777503c05a1503cfa5e503c,fa5e503c,05a1503c,05a1503c,8777503c,8777503c,84877729,84877729,503cfa60,503cfa60,503c059f,503c059f,503ca6cd,503ca6cd,1718a6cd,1718a6cd
27,27,0,fa5f503c,9ce0d44a503cd44a503c059e503cfa61ce0efbc70efa503c05a0503cfa5f503c,fa5f503c,05a0503c,05a0503c,0efa503c,0efa503c,ce0efbc7,ce0efbc7,503cfa61,503cfa61,503c059e,503c059e,503cd44a,503cd44a,9ce0d44a,9ce0d44a
28,28,0,fa60503c,85a6efcf503cefcf503c059d503cfa6247336eda336e503c059f503cfa60503c,fa60503c,059f503c,059f503c,336e503c,336e503c,47336eda,47336eda,503cfa62,503cfa62,503c059d,503c059d,503cefcf,503cefcf,85a6efcf,85a6efcf
29,29,0,fa61503c,b5b5948e503c948e503c059c503cfa6347b36390b363503c059e503cfa61503c,fa61503c,059e503c,059e503c,b363503c,b363503c,47b36390,47b36390,503cfa63,503cfa63,503c059c,503c059c,503c948e,503c948e,b5b5948e,b5b5948e
30,30,0,fa62503c,f8c8ae2a503cae2a503c059b503cfa64afe61eb5e61e503c059d503cfa62503c,fa62503c,059d503c,059d503c,e61e503c,e61e503c,afe61eb5,afe61eb5,503cfa64,503cfa64,503c059b,503c059b,503cae2a,503cae2a,f8c8ae2a,f8c8ae2a
31,31,0,fa63503c,dc894ede503c4ede503c059a503cfa65a8789ecf789e503c059c503cfa63503c,fa63503c,059c503c,059c503c,789e503c,789e503c,a8789ecf,a8789ecf,503cfa65,503cfa65,503c059a,503c059a,503c4ede,503c4ede,dc894ede,dc894ede
