Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,7a69d4a1,3b0000000000000000000000000000000000000000f0f8f0f00000000000000004000600000000000000000000049b71e8349b71e8349b71e8349b71e836c9da26818862bc02d00261b7a69d4a1,2d00261b,18862bc0,6c9da268,49b71e83,49b71e83,49b71e83,49b71e83,0,0000,0000,0000,0000,0000,0006,0004,0000,00,00,00,00,f0,f0,f8,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
1,1,0,14a473f0,3b0000000000000000000000000000000000000000f5f0f0f000000000000100000008000000010000000000000526dc7a0526dc7a0526dc7a0526dc7a0e25a748dfd0f5887e2dae07914a473f0,e2dae079,fd0f5887,e25a748d,526dc7a0,526dc7a0,526dc7a0,526dc7a0,0,0000,0000,0000,0001,0000,0008,0000,0001,00,00,00,00,f0,f0,f0,f5,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
2,2,0,9310c0c6,3a0000000000000000000000000000000000000000f1f0f0f700000000000c0000000b000500000000000300010b59977e9b51b77b9341b717db51b7238091ffff33b8fa148e24d9cfe9310c0c6,e24d9cfe,3b8fa148,091ffff3,b51b7238,341b717d,b51b77b9,b59977e9,0,0001,0003,0000,0000,0005,000b,0000,000c,00,00,00,00,f7,f0,f0,f1,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
3,3,0,3d2431a8,2a0000000000000000000000000000000000000000f0f7f1f400000000000e00050008000c000000030000000400d465d870d465d870d465d870d465d8757f01cb664ee248a9b2e046b3d2431a8,9b2e046b,64ee248a,57f01cb6,0d465d87,0d465d87,0d465d87,0d465d87,0,0004,0000,0003,0000,000c,0008,0005,000e,00,00,00,00,f4,f1,f7,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
4,4,0,24cea510,2a0000000000000000000000000000000000000000f0f0f0f000000000000200040001000900000000000000000835197618351976183519761835197616522090240a06522f16c560e24cea510,f16c560e,40a06522,65220902,83519761,83519761,83519761,83519761,0,0000,0000,0000,0000,0009,0001,0004,0002,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
5,5,0,85f29614,3b0000000000000000000000000000000000000000f7f5f5f200000000000000010008000800000008000000000a0d465d8a0d465d8a0d465d8a0d465d861424f01c87cd7b1a000642585f29614,a0006425,c87cd7b1,61424f01,a0d465d8,a0d465d8,a0d465d8,a0d465d8,0,0000,0000,0008,0000,0008,0008,0001,0000,00,00,00,00,f2,f5,f5,f7,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
6,6,0,201f1e10,3b0000000000000000000000000000000000000000fefff0f000000000000000040000000f00040005000000000e8351976e8351976e8351976e8351976a2ed91c2858d00ed6993090b201f1e10,6993090b,858d00ed,a2ed91c2,e8351976,e8351976,e8351976,e8351976,0,0000,0000,0005,0004,000f,0000,0004,0000,00,00,00,00,f0,f0,ff,fe,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
7,7,0,046b5b8c,3a0000000000000000000000000000000000000000f7f0f0f400000000000400020000000100040000000000000031f445c535d775cee0c6ef8431d5ddd47e185707d514fd4cdf3c5ec046b5b8c,cdf3c5ec,7d514fd4,47e18570,431d5ddd,ee0c6ef8,535d775c,031f445c,0,0000,0000,0000,0004,0001,0000,0002,0004,00,00,00,00,f4,f0,f0,f7,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
8,8,0,825d868d,2a0000000000000000000000000000000000000000f1f1f0f10000000000000000000000090001000100000001061d79f7e61d79f7e61d79f7e61d79f7ee42164c39fa26a37935b1143825d868d,935b1143,9fa26a37,e42164c3,61d79f7e,61d79f7e,61d79f7e,61d79f7e,0,0001,0000,0001,0001,0009,0000,0000,0000,00,00,00,00,f1,f0,f1,f1,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
