Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2a0bdc9f490bdc9f490bdc9f490bdc9f490bdc9f48dbdc9f48dbdc9f48dbdc9f48d,bdc9f48d,bdc9f48d,bdc9f48d,bdc9f48d,bdc9f490,bdc9f490,bdc9f490,bdc9f490,0,0,1,0,1,0,1
1,1,0,2a0bdc9f491bdc9f491bdc9f491bdc9f491bdc9f48ebdc9f48ebdc9f48ebdc9f48e,bdc9f48e,bdc9f48e,bdc9f48e,bdc9f48e,bdc9f491,bdc9f491,bdc9f491,bdc9f491,0,0,1,0,1,0,1
2,2,0,3a0bdc9f492bdc9f492bdc9f492bdc9f492bdc9f48fbdc9f48fbdc9f48fbdc9f48f,bdc9f48f,bdc9f48f,bdc9f48f,bdc9f48f,bdc9f492,bdc9f492,bdc9f492,bdc9f492,0,0,1,0,1,1,1
3,3,0,3b0bdc9f493bdc9f493bdc9f493bdc9f493bdc9f490bdc9f490bdc9f490bdc9f490,bdc9f490,bdc9f490,bdc9f490,bdc9f490,bdc9f493,bdc9f493,bdc9f493,bdc9f493,0,1,1,0,1,1,1
4,4,0,3b0bdc9f494bdc9f494bdc9f494bdc9f494bdc9f491bdc9f491bdc9f491bdc9f491,bdc9f491,bdc9f491,bdc9f491,bdc9f491,bdc9f494,bdc9f494,bdc9f494,bdc9f494,0,1,1,0,1,1,1
5,5,0,2a0bdc9f495bdc9f495bdc9f495bdc9f495bdc9f492bdc9f492bdc9f492bdc9f492,bdc9f492,bdc9f492,bdc9f492,bdc9f492,bdc9f495,bdc9f495,bdc9f495,bdc9f495,0,0,1,0,1,0,1
6,6,0,2a0bdc9f496bdc9f496bdc9f496bdc9f496bdc9f493bdc9f493bdc9f493bdc9f493,bdc9f493,bdc9f493,bdc9f493,bdc9f493,bdc9f496,bdc9f496,bdc9f496,bdc9f496,0,0,1,0,1,0,1
7,7,0,3a0bdc9f497bdc9f497bdc9f497bdc9f497bdc9f494bdc9f494bdc9f494bdc9f494,bdc9f494,bdc9f494,bdc9f494,bdc9f494,bdc9f497,bdc9f497,bdc9f497,bdc9f497,0,0,1,0,1,1,1
8,8,0,3b0bdc9f498bdc9f498bdc9f498bdc9f498bdc9f495bdc9f495bdc9f495bdc9f495,bdc9f495,bdc9f495,bdc9f495,bdc9f495,bdc9f498,bdc9f498,bdc9f498,bdc9f498,0,1,1,0,1,1,1
9,9,0,3b0bdc9f499bdc9f499bdc9f499bdc9f499bdc9f496bdc9f496bdc9f496bdc9f496,bdc9f496,bdc9f496,bdc9f496,bdc9f496,bdc9f499,bdc9f499,bdc9f499,bdc9f499,0,1,1,0,1,1,1
10,10,0,2a0bdc9f49abdc9f49abdc9f49abdc9f49abdc9f497bdc9f497bdc9f497bdc9f497,bdc9f497,bdc9f497,bdc9f497,bdc9f497,bdc9f49a,bdc9f49a,bdc9f49a,bdc9f49a,0,0,1,0,1,0,1
11,11,0,2a0bdc9f49bbdc9f49bbdc9f49bbdc9f49bbdc9f498bdc9f498bdc9f498bdc9f498,bdc9f498,bdc9f498,bdc9f498,bdc9f498,bdc9f49b,bdc9f49b,bdc9f49b,bdc9f49b,0,0,1,0,1,0,1
12,12,0,3b0bdc9f49cbdc9f49cbdc9f49cbdc9f49cbdc9f499bdc9f499bdc9f499bdc9f499,bdc9f499,bdc9f499,bdc9f499,bdc9f499,bdc9f49c,bdc9f49c,bdc9f49c,bdc9f49c,0,1,1,0,1,1,1
13,13,0,3b0bdc9f49dbdc9f49dbdc9f49dbdc9f49dbdc9f49abdc9f49abdc9f49abdc9f49a,bdc9f49a,bdc9f49a,bdc9f49a,bdc9f49a,bdc9f49d,bdc9f49d,bdc9f49d,bdc9f49d,0,1,1,0,1,1,1
14,14,0,3b0bdc9f49ebdc9f49ebdc9f49ebdc9f49ebdc9f49bbdc9f49bbdc9f49bbdc9f49b,bdc9f49b,bdc9f49b,bdc9f49b,bdc9f49b,bdc9f49e,bdc9f49e,bdc9f49e,bdc9f49e,0,1,1,0,1,1,1
15,15,0,2a0bdc9f49fbdc9f49fbdc9f49fbdc9f49fbdc9f49cbdc9f49cbdc9f49cbdc9f49c,bdc9f49c,bdc9f49c,bdc9f49c,bdc9f49c,bdc9f49f,bdc9f49f,bdc9f49f,bdc9f49f,0,0,1,0,1,0,1
16,16,0,2a0bdc9f4a0bdc9f4a0bdc9f4a0bdc9f4a0bdc9f49dbdc9f49dbdc9f49dbdc9f49d,bdc9f49d,bdc9f49d,bdc9f49d,bdc9f49d,bdc9f4a0,bdc9f4a0,bdc9f4a0,bdc9f4a0,0,0,1,0,1,0,1
17,17,0,3a0bdc9f4a1bdc9f4a1bdc9f4a1bdc9f4a1bdc9f49ebdc9f49ebdc9f49ebdc9f49e,bdc9f49e,bdc9f49e,bdc9f49e,bdc9f49e,bdc9f4a1,bdc9f4a1,bdc9f4a1,bdc9f4a1,0,0,1,0,1,1,1
18,18,0,3b0bdc9f4a2bdc9f4a2bdc9f4a2bdc9f4a2bdc9f49fbdc9f49fbdc9f49fbdc9f49f,bdc9f49f,bdc9f49f,bdc9f49f,bdc9f49f,bdc9f4a2,bdc9f4a2,bdc9f4a2,bdc9f4a2,0,1,1,0,1,1,1
19,19,0,3b0bdc9f4a3bdc9f4a3bdc9f4a3bdc9f4a3bdc9f4a0bdc9f4a0bdc9f4a0bdc9f4a0,bdc9f4a0,bdc9f4a0,bdc9f4a0,bdc9f4a0,bdc9f4a3,bdc9f4a3,bdc9f4a3,bdc9f4a3,0,1,1,0,1,1,1
20,20,0,2a0bdc9f4a4bdc9f4a4bdc9f4a4bdc9f4a4bdc9f4a1bdc9f4a1bdc9f4a1bdc9f4a1,bdc9f4a1,bdc9f4a1,bdc9f4a1,bdc9f4a1,bdc9f4a4,bdc9f4a4,bdc9f4a4,bdc9f4a4,0,0,1,0,1,0,1
21,21,0,2a0bdc9f4a5bdc9f4a5bdc9f4a5bdc9f4a5bdc9f4a2bdc9f4a2bdc9f4a2bdc9f4a2,bdc9f4a2,bdc9f4a2,bdc9f4a2,bdc9f4a2,bdc9f4a5,bdc9f4a5,bdc9f4a5,bdc9f4a5,0,0,1,0,1,0,1
22,22,0,3b0bdc9f4a6bdc9f4a6bdc9f4a6bdc9f4a6bdc9f4a3bdc9f4a3bdc9f4a3bdc9f4a3,bdc9f4a3,bdc9f4a3,bdc9f4a3,bdc9f4a3,bdc9f4a6,bdc9f4a6,bdc9f4a6,bdc9f4a6,0,1,1,0,1,1,1
23,23,0,3b0bdc9f4a7bdc9f4a7bdc9f4a7bdc9f4a7bdc9f4a4bdc9f4a4bdc9f4a4bdc9f4a4,bdc9f4a4,bdc9f4a4,bdc9f4a4,bdc9f4a4,bdc9f4a7,bdc9f4a7,bdc9f4a7,bdc9f4a7,0,1,1,0,1,1,1
24,24,0,3b0bdc9f4a8bdc9f4a8bdc9f4a8bdc9f4a8bdc9f4a5bdc9f4a5bdc9f4a5bdc9f4a5,bdc9f4a5,bdc9f4a5,bdc9f4a5,bdc9f4a5,bdc9f4a8,bdc9f4a8,bdc9f4a8,bdc9f4a8,0,1,1,0,1,1,1
