Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000092fcd2fcd2fcd2fcc0472dd505c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbf8e17cae68e17cae68e17cae68e17cae6b5b2470bb5b2470ba5b2570bb5b2d70b,b5b2d70b,a5b2570b,b5b2470b,b5b2470b,8e17cae6,8e17cae6,8e17cae6,8e17cae6,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb75417,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
1,1,0,000000000000092fcd2fcd2fcd2fcc0472dd50780000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbf2385f28b2391f0882394b2b12385f2b9ed6c91c2ed6c91c2ed6c91c2ed6c91c2,ed6c91c2,ed6c91c2,ed6c91c2,ed6c91c2,2385f2b9,2394b2b1,2391f088,2385f28b,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb7541e,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
2,2,0,000000000000092fcd2fcd2fcd2fcc0472dd50980000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf689e2860689e2860689e2860689e28607b5b24707b5b24707b5b24707b5b2470,7b5b2470,7b5b2470,7b5b2470,7b5b2470,689e2860,689e2860,689e2860,689e2860,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb75426,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
3,3,0,000000000000092fcd2fcd2fcd2fcc0472dd50b80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf9a278a189a278a189a278a189a278a18ded6c91cded6c91cded6c91cded6c91c,ded6c91c,ded6c91c,ded6c91c,ded6c91c,9a278a18,9a278a18,9a278a18,9a278a18,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb7542e,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
4,4,0,000000000000092fcd2fcd2fcd2fcc0472dd50d80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafe689e286e689e286e689e286e689e28637b5b24737b5b24737b5b24737b5b247,37b5b247,37b5b247,37b5b247,37b5b247,e689e286,e689e286,e689e286,e689e286,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb75436,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
5,5,0,000000000000092fcd2fcd2fcd2fcc0472dd50f80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfb9a278a1b9a278a1b9a278a1b9a278a1c2f95cd1c2f95cd1c2f95cd1c2f95cd1,c2f95cd1,c2f95cd1,c2f95cd1,c2f95cd1,b9a278a1,b9a278a1,b9a278a1,b9a278a1,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb7543e,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
6,6,0,000000000000092fcd2fcd2fcd2fcc0472dd511c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfee689e1aae689c59ae69fe60ae689e2870be573470be573470be573470be5734,70be5734,70be5734,70be5734,70be5734,ae689e28,ae69fe60,ae689c59,ee689e1a,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb75447,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
7,7,0,000000000000092fcd2fcd2fcd2fcc0472dd51340000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf18207f5418207f5418207f5418207f541c2f95cd1c2f95cd1c2f95cd1c2f95cd,1c2f95cd,1c2f95cd,1c2f95cd,1c2f95cd,18207f54,18207f54,18207f54,18207f54,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb7544d,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
8,8,0,000000000000092fcd2fcd2fcd2fcc0472dd51540000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf86081fd586081fd586081fd586081fd5470be573470be573470be573470be573,470be573,470be573,470be573,470be573,86081fd5,86081fd5,86081fd5,86081fd5,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb75455,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
