Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,08c16dcafed1889e0187e3f87e00000000000000000000000000000000000000003d3c3c3c80000000000300000002000280010000800000003fc013c0000000000000000000000000033333c003ffffc00038160b0582f32a0a99dd2c6a99dd2c6a99dd2c6a99dd2c690ca929655c69c25697f1914775bed5b,775bed5b,697f1914,55c69c25,90ca9296,a99dd2c6,a99dd2c6,a99dd2c6,a99dd2c6,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0002,0004,000a,0008,0000,000c,00,00,00,00,f2,f0,f0,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe1f8,2278,fb46,b72b,2305
1,1,0,08c36dccfed388a00187e3f88000000000000000000000000000000000000000003ebc3d3e00000000000000020000000200000000000000023fc013c0000000000000000000000000033333c003ffffc00038160b0582fbbb0aa6774b1aa6774b1aa6774b1aa6774b12f0a39de7653ccc554ed404889fa5dc1,89fa5dc1,54ed4048,7653ccc5,2f0a39de,aa6774b1,aa6774b1,aa6774b1,aa6774b1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0008,0000,0000,0000,0008,0000,0008,0000,00,00,00,00,f8,f4,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe200,2280,fb4e,b733,230d
2,2,0,08c56dcefed588a20187e3f88200000000000000000000000000000000000000003c3ebc3c80000000000000024000000000000002000000003fc013c0000000000000000000000000033333c003ffffc00038160b0582fbbb0ea99dd2cea99dd2cea99dd2cea99dd2c70a5d4710a16e70bd5936f9b18756d14,18756d14,d5936f9b,0a16e70b,70a5d471,ea99dd2c,ea99dd2c,ea99dd2c,ea99dd2c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0008,0000,0000,0000,0009,0000,00,00,00,00,f2,f0,fa,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe208,2288,fb56,b73b,2315
3,3,0,08c72dd0bed748a3c187e3f883c0000000000000000000000000000000000000003f7c3c3d00000000000000000002000000010000000000003fc013c0000000000000000000000000033333c003ffffc00038160b0582e2ba01bdad9231bdad9231bdad9231bdad923713b1d7a91b062526c34e9d8e166f8c2,e166f8c2,6c34e9d8,91b06252,713b1d7a,1bdad923,1bdad923,1bdad923,1bdad923,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0000,0004,0000,0008,0000,0000,00,00,00,00,f4,f0,f0,fd,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe20f,228f,fb5d,b742,231c
4,4,0,08c92dd2bed948a5c187e3f885c0000000000000000000000000000000000000003cbc3cbc00000000000000004000800000000000000080003fc013c0000000000000000000000000033333c003ffffc00038160b0582e22a0c6f6b648c6f6b648c6f6b648c6f6b64896826afd25ba677414c98b5d5be25468,5be25468,14c98b5d,25ba6774,96826afd,c6f6b648,c6f6b648,c6f6b648,c6f6b648,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0002,0000,0000,0000,0002,0001,0000,00,00,00,00,f0,f2,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe217,2297,fb65,b74a,2324
5,5,0,08cb2dd4bedb48a7c187e3f887c0000000000000000000000000000000000000003cbc3c3c00000000000080004000000000008000000000003fc013c0000000000000000000000000033333c003ffffc00038160b0582f32a0b1bdad92b1bdad92b1bdad92b1bdad92de499905c57f6942483b5784c13d02df,c13d02df,483b5784,c57f6942,de499905,b1bdad92,b1bdad92,b1bdad92,b1bdad92,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0000,0002,0000,0000,0001,0002,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe21f,229f,fb6d,b752,232c
6,6,0,08cd2dd6bedd48a9c187e3f889c0000000000000000000000000000000000000003e3d7c3c40000000000200010000000000020001000000003fc013c0000000000000000000000000033333c003ffffc00038160b0582fbbb02c6f6b642c6f6b642c6f6b642c6f6b649670a5d4c30a16e765d5936f3518756d,3518756d,65d5936f,c30a16e7,9670a5d4,2c6f6b64,2c6f6b64,2c6f6b64,2c6f6b64,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0004,0008,0000,0000,0004,0008,00,00,00,00,f1,f0,f5,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe227,22a7,fb75,b75a,2334
7,7,0,08cf2dd8bedf48abc187e3f88bc0000000000000000000000000000000000000003e3c3d3c000000000000000080010000c0000000000100013fc013c0000000000000000000000000033333c003ffffc00038160b0582fbbb04b1bdad94b1bdad94b1bdad94b1bdad97aa3650f52408630d89497fac2fe0965,c2fe0965,d89497fa,52408630,7aa3650f,4b1bdad9,4b1bdad9,4b1bdad9,4b1bdad9,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0004,0004,0000,0000,0003,0004,0002,0000,00,00,00,00,f0,f4,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe22f,22af,fb7d,b762,233c
8,8,0,08d0edda7ee108ad8187e3f88d80000000000000000000000000000000000000003c3c3cbc40000000000000020000400000010000000000007fc013c0000000000000000000000000033333c003ffffc00038160b0582e2ba048e17cae48e17cae48e17cae48e17caefdf78e9b743132ad5d606c1a68384418,68384418,5d606c1a,743132ad,fdf78e9b,48e17cae,48e17cae,48e17cae,48e17cae,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0001,0000,0000,0004,0000,0001,0008,0000,00,00,00,00,f1,f2,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe236,22b6,fb84,b769,2343
