Sample in Buffer,Sample in Window,TRIGGER,ila_data[777:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,21cc9161f60348d4409c44b09380000000000000000000000000000000000000003c3fbc3c00000000000000038000400000000003800000003ffc03fffc3fc03b9fc29b422fc29b422fc29b422fc29b4227255624822a5181d76e05ea2b1f018ff,b1f018ff,76e05ea2,22a5181d,72556248,fc29b422,fc29b422,fc29b422,fc29b422,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,000e,0000,0000,0001,000e,0000,00,00,00,00,f0,f0,fe,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c24e,2351,d80d,4587,8732
1,1,0,21cc9163b60508d4409c44b09580000000000000000000000000000000000000003c3c3dbc00000000000000020000400000000000000300003ffc03fffc3fc02a91d2a68e71d2a68e71d2a68e71d2a68e7b17db26266b99fa87c3b2e632c56fde8,2c56fde8,7c3b2e63,66b99fa8,b17db262,1d2a68e7,1d2a68e7,1d2a68e7,1d2a68e7,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,000c,0000,0000,0000,0001,0008,0000,00,00,00,00,f0,f6,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c256,2351,d814,458e,8732
2,2,0,21cc9165b60708d4409c44b09780000000000000000000000000000000000000003c3c3f3c00000000000000000003800000000000000100003ffc03fffc3fc02a92d5ab8952d5ab8952d5ab8952d5ab8953b187fa57842769ad0b5ebd611c247d7,11c247d7,d0b5ebd6,7842769a,3b187fa5,2d5ab895,2d5ab895,2d5ab895,2d5ab895,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0004,0000,0000,0000,000e,0000,0000,00,00,00,00,f0,fc,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c25e,2351,d81c,4596,8732
3,3,0,21cc9167b60908d4409c44b09980000000000000000000000000000000000000003c3c3c3c00000000000000000000400000000000000000003ffc03fffc3fc03a9e855ad7be855ad7be855ad7be855ad7b3906a0577a4c1780f4506b6c70ecc5d1,70ecc5d1,f4506b6c,7a4c1780,3906a057,e855ad7b,e855ad7b,e855ad7b,e855ad7b,9,0,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0001,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c266,2351,d824,459e,8732
4,4,0,21cc9169b60b08d4409c44b09b80000000000000000000000000000000000000003c3d3e3c00000000000000000000800000000000000000003ffc03fffc3fc03b92f47f1c72f47f9c72f47f9c73f47d9c7190a3caf830afd5df3715704d5086648,d5086648,f3715704,830afd5d,190a3caf,3f47d9c7,2f47f9c7,2f47f9c7,2f47f1c7,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0002,0000,0000,00,00,00,00,f0,f8,f4,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c26e,2351,d82c,45a6,8732
5,5,0,21cc916bb60d48d4409c44b09d40000000000000000000000000000000000000003c3c3fbc00000000000000020001400000000000000180003ffc03fffc3fc03b907d4cbca07d4cbca07d4cbca07d4cbca2f445be57afac544a2aac8955aa997b3,5aa997b3,a2aac895,7afac544,2f445be5,07d4cbca,07d4cbca,07d4cbca,07d4cbca,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0006,0000,0000,0000,0005,0008,0000,00,00,00,00,f0,fe,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c275,2351,d835,45ae,8732
6,6,0,21cc916d760ec8d4409c44b09f40000000000000000000000000000000000000003c3c3e3c00000000000000000002800000000000000000003ffc03fffc3fc02a9c590fd92c590fd92c590fd92c590fd9216792c1776a935a73c3f8a7b25a4fb35,25a4fb35,3c3f8a7b,76a935a7,16792c17,c590fd92,c590fd92,c590fd92,c590fd92,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,000a,0000,0000,00,00,00,00,f0,f8,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c27d,2351,d83b,45b5,8732
7,7,0,21cc916f7610c8d4409c44b0a140000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003ffc03fffc3fc02a9f154e1edf154e1edf154e1edf154e1edef4d7de668df25645d708781a6ad96d2,a6ad96d2,5d708781,68df2564,ef4d7de6,f154e1ed,f154e1ed,f154e1ed,f154e1ed,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c285,2351,d843,45bd,8732
8,8,0,21cc91717612c8d4409c44b0a340000000000000000000000000000000000000003c3cbc3c00000000000000018002000000000001800000003ffc03fffc3fc03a9904e6a09904e6a09904e6a09904e6a098bbd245010fb24c58146b9cc929abf92,929abf92,8146b9cc,10fb24c5,8bbd2450,904e6a09,904e6a09,904e6a09,904e6a09,9,0,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0006,0000,0000,0008,0006,0000,00,00,00,00,f0,f0,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c28d,2351,d84b,45c5,8732
9,9,0,21cc91737614c8d4409c44b0a540000000000000000000000000000000000000003c3c7c3c00000000000000000000800000000000000000003ffc03fffc3fc03b92eb295c52ef395c52eb395c522b39dcebce69f9c7b7700e37d65e4c1ffee6dcb,ffee6dcb,7d65e4c1,7b7700e3,bce69f9c,22b39dce,2eb395c5,2ef395c5,2eb295c5,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0002,0000,0000,00,00,00,00,f0,f0,f1,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c295,2351,d853,45cd,8732
10,10,0,21cc9175361688d4409c44b0a700000000000000000000000000000000000000003c3e3c3c00000000000000020000000000000002800000003ffc03fffc3fc03b91b2a30a71b2a30a71b2a30a71b2a30a74935b621869bf7ac065e957f8ff67f8d,8ff67f8d,065e957f,869bf7ac,4935b621,1b2a30a7,1b2a30a7,1b2a30a7,1b2a30a7,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,000a,0000,0000,0000,0008,0000,00,00,00,00,f0,f0,f8,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112c29c,2351,d85a,45d4,8732
