Sample in Buffer,Sample in Window,TRIGGER,ila_data[313:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3ffc03ffffffeb04be3503c4be3503c4be3503c4be3503c503c4be04be0503c4be0503c4be0503c,4be0503c,4be0503c,4be0503c,503c4be0,4be3503c,4be3503c,4be3503c,4be3503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
1,1,0,3ffc03ffffffea04be4503c4be4503c4be4503c4be4503c503c4be14be1503c4be1503c4be1503c,4be1503c,4be1503c,4be1503c,503c4be1,4be4503c,4be4503c,4be4503c,4be4503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
2,2,0,3ffc03fffffffa04be5503c4be5503c4be5503c4be5503c503c4be24be2503c4be2503c4be2503c,4be2503c,4be2503c,4be2503c,503c4be2,4be5503c,4be5503c,4be5503c,4be5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
3,3,0,3ffc03fffffffa04be6503c4be6503c4be6503c4be6503c503c4be34be3503c4be3503c4be3503c,4be3503c,4be3503c,4be3503c,503c4be3,4be6503c,4be6503c,4be6503c,4be6503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
4,4,0,3ffc03ffffffeb04be7503c4be7503c4be7503c4be7503c503c4be44be4503c4be4503c4be4503c,4be4503c,4be4503c,4be4503c,503c4be4,4be7503c,4be7503c,4be7503c,4be7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
5,5,0,3ffc03ffffffeb04be8503c4be8503c4be8503c4be8503c503c4be54be5503c4be5503c4be5503c,4be5503c,4be5503c,4be5503c,503c4be5,4be8503c,4be8503c,4be8503c,4be8503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
6,6,0,3ffc03ffffffea04be9503c4be9503c4be9503c4be9503c503c4be64be6503c4be6503c4be6503c,4be6503c,4be6503c,4be6503c,503c4be6,4be9503c,4be9503c,4be9503c,4be9503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
7,7,0,3ffc03fffffffa04bea503c4bea503c4bea503c4bea503c503c4be74be7503c4be7503c4be7503c,4be7503c,4be7503c,4be7503c,503c4be7,4bea503c,4bea503c,4bea503c,4bea503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
8,8,0,3ffc03fffffffa04beb503c4beb503c4beb503c4beb503c503c4be84be8503c4be8503c4be8503c,4be8503c,4be8503c,4be8503c,503c4be8,4beb503c,4beb503c,4beb503c,4beb503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
9,9,0,3ffc03ffffffeb04bec503c4bec503c4bec503c4bec503c503c4be94be9503c4be9503c4be9503c,4be9503c,4be9503c,4be9503c,503c4be9,4bec503c,4bec503c,4bec503c,4bec503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
10,10,0,3ffc03ffffffeb04bed503c4bed503c4bed503c4bed503c503c4bea4bea503c4bea503c4bea503c,4bea503c,4bea503c,4bea503c,503c4bea,4bed503c,4bed503c,4bed503c,4bed503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
11,11,0,3ffc03ffffffea04bee503c4bee503c4bee503c4bee503c503c4beb4beb503c4beb503c4beb503c,4beb503c,4beb503c,4beb503c,503c4beb,4bee503c,4bee503c,4bee503c,4bee503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
12,12,0,3ffc03fffffffa04bef503c4bef503c4bef503c4bef503c503c4bec4bec503c4bec503c4bec503c,4bec503c,4bec503c,4bec503c,503c4bec,4bef503c,4bef503c,4bef503c,4bef503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
13,13,0,3ffc03fffffffa04bf0503c4bf0503c4bf0503c4bf0503c503c4bed4bed503c4bed503c4bed503c,4bed503c,4bed503c,4bed503c,503c4bed,4bf0503c,4bf0503c,4bf0503c,4bf0503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
14,14,0,3ffc03ffffffeb04bf1503c4bf1503c4bf1503c4bf1503c503c4bee4bee503c4bee503c4bee503c,4bee503c,4bee503c,4bee503c,503c4bee,4bf1503c,4bf1503c,4bf1503c,4bf1503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
15,15,0,3ffc03ffffffeb04bf2503c4bf2503c4bf2503c4bf2503c503c4bef4bef503c4bef503c4bef503c,4bef503c,4bef503c,4bef503c,503c4bef,4bf2503c,4bf2503c,4bf2503c,4bf2503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
16,16,0,3ffc03ffffffea04bf3503c4bf3503c4bf3503c4bf3503c503c4bf04bf0503c4bf0503c4bf0503c,4bf0503c,4bf0503c,4bf0503c,503c4bf0,4bf3503c,4bf3503c,4bf3503c,4bf3503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
17,17,0,3ffc03fffffffa04bf4503c4bf4503c4bf4503c4bf4503c503c4bf14bf1503c4bf1503c4bf1503c,4bf1503c,4bf1503c,4bf1503c,503c4bf1,4bf4503c,4bf4503c,4bf4503c,4bf4503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
18,18,0,3ffc03fffffffa04bf5503c4bf5503c4bf5503c4bf5503c503c4bf24bf2503c4bf2503c4bf2503c,4bf2503c,4bf2503c,4bf2503c,503c4bf2,4bf5503c,4bf5503c,4bf5503c,4bf5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
19,19,0,3ffc03ffffffeb04bf6503c4bf6503c4bf6503c4bf6503c503c4bf34bf3503c4bf3503c4bf3503c,4bf3503c,4bf3503c,4bf3503c,503c4bf3,4bf6503c,4bf6503c,4bf6503c,4bf6503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
20,20,0,3ffc03ffffffeb04bf7503c4bf7503c4bf7503c4bf7503c503c4bf44bf4503c4bf4503c4bf4503c,4bf4503c,4bf4503c,4bf4503c,503c4bf4,4bf7503c,4bf7503c,4bf7503c,4bf7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
21,21,0,3ffc03ffffffea04bf8503c4bf8503c4bf8503c4bf8503c503c4bf54bf5503c4bf5503c4bf5503c,4bf5503c,4bf5503c,4bf5503c,503c4bf5,4bf8503c,4bf8503c,4bf8503c,4bf8503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
22,22,0,3ffc03fffffffa04bf9503c4bf9503c4bf9503c4bf9503c503c4bf64bf6503c4bf6503c4bf6503c,4bf6503c,4bf6503c,4bf6503c,503c4bf6,4bf9503c,4bf9503c,4bf9503c,4bf9503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
23,23,0,3ffc03fffffffa04bfa503c4bfa503c4bfa503c4bfa503c503c4bf74bf7503c4bf7503c4bf7503c,4bf7503c,4bf7503c,4bf7503c,503c4bf7,4bfa503c,4bfa503c,4bfa503c,4bfa503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
24,24,0,3ffc03ffffffeb04bfb503c4bfb503c4bfb503c4bfb503c503c4bf84bf8503c4bf8503c4bf8503c,4bf8503c,4bf8503c,4bf8503c,503c4bf8,4bfb503c,4bfb503c,4bfb503c,4bfb503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
25,25,0,3ffc03ffffffeb04bfc503c4bfc503c4bfc503c4bfc503c503c4bf94bf9503c4bf9503c4bf9503c,4bf9503c,4bf9503c,4bf9503c,503c4bf9,4bfc503c,4bfc503c,4bfc503c,4bfc503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
26,26,0,3ffc03ffffffea04bfd503c4bfd503c4bfd503c4bfd503c503c4bfa4bfa503c4bfa503c4bfa503c,4bfa503c,4bfa503c,4bfa503c,503c4bfa,4bfd503c,4bfd503c,4bfd503c,4bfd503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
27,27,0,3ffc03fffffffa04bfe503c4bfe503c4bfe503c4bfe503c503c4bfb4bfb503c4bfb503c4bfb503c,4bfb503c,4bfb503c,4bfb503c,503c4bfb,4bfe503c,4bfe503c,4bfe503c,4bfe503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
28,28,0,3ffc03fffffffa04bff503c4bff503c4bff503c4bff503c503c4bfc4bfc503c4bfc503c4bfc503c,4bfc503c,4bfc503c,4bfc503c,503c4bfc,4bff503c,4bff503c,4bff503c,4bff503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
29,29,0,3ffc03ffffffeb04c00503c4c00503c4c00503c4c00503c503c4bfd4bfd503c4bfd503c4bfd503c,4bfd503c,4bfd503c,4bfd503c,503c4bfd,4c00503c,4c00503c,4c00503c,4c00503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
30,30,0,3ffc03ffffffeb04c01503c4c01503c4c01503c4c01503c503c4bfe4bfe503c4bfe503c4bfe503c,4bfe503c,4bfe503c,4bfe503c,503c4bfe,4c01503c,4c01503c,4c01503c,4c01503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
