Sample in Buffer,Sample in Window,TRIGGER,ila_data[513:0],userdata_rx_0[31:0],receiver_0[31:0],userdata_rx_1[31:0],receiver_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,ch0_rxctrl0_int[15:0],hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],ch0_rxctrl1_int[15:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],ch1_rxctrl1_int[15:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],ch2_rxctrl1_int[15:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],ch3_rxctrl1_int[15:0],txpostcursor_int[19:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],txprecursor_int[19:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],drpdo_int[63:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fb3b0c54f503c3ab0503c62a7503c9d58503cc553503c3aac503c62a9503c9d56503c,9d56503c,9d56503c,62a9503c,62a9503c,3aac503c,3aac503c,c553503c,c553503c,9d58503c,9d58503c,62a7503c,62a7503c,3ab0503c,3ab0503c,c54f503c,c54f503c,0,1,fb3b,1,0,1,1,1,0,0,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
1,1,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0c54d503c3ab2503c62a6503c9d59503cc551503c3aae503c62a8503c9d57503c,9d57503c,9d57503c,62a8503c,62a8503c,3aae503c,3aae503c,c551503c,c551503c,9d59503c,9d59503c,62a6503c,62a6503c,3ab2503c,3ab2503c,c54d503c,c54d503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
2,2,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0c54b503c3ab4503c62a5503c9d5a503cc54f503c3ab0503c62a7503c9d58503c,9d58503c,9d58503c,62a7503c,62a7503c,3ab0503c,3ab0503c,c54f503c,c54f503c,9d5a503c,9d5a503c,62a5503c,62a5503c,3ab4503c,3ab4503c,c54b503c,c54b503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
3,3,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3aa0c549503c3ab6503c62a4503c9d5b503cc54d503c3ab2503c62a6503c9d59503c,9d59503c,9d59503c,62a6503c,62a6503c,3ab2503c,3ab2503c,c54d503c,c54d503c,9d5b503c,9d5b503c,62a4503c,62a4503c,3ab6503c,3ab6503c,c549503c,c549503c,0,0,e3aa,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
4,4,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbba0c547503c3ab8503c62a3503c9d5c503cc54b503c3ab4503c62a5503c9d5a503c,9d5a503c,9d5a503c,62a5503c,62a5503c,3ab4503c,3ab4503c,c54b503c,c54b503c,9d5c503c,9d5c503c,62a3503c,62a3503c,3ab8503c,3ab8503c,c547503c,c547503c,0,0,fbba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
5,5,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fb3b0c545503c3aba503c62a2503c9d5d503cc549503c3ab6503c62a4503c9d5b503c,9d5b503c,9d5b503c,62a4503c,62a4503c,3ab6503c,3ab6503c,c549503c,c549503c,9d5d503c,9d5d503c,62a2503c,62a2503c,3aba503c,3aba503c,c545503c,c545503c,0,1,fb3b,1,0,1,1,1,0,0,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
6,6,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0c543503c3abc503c62a1503c9d5e503cc547503c3ab8503c62a3503c9d5c503c,9d5c503c,9d5c503c,62a3503c,62a3503c,3ab8503c,3ab8503c,c547503c,c547503c,9d5e503c,9d5e503c,62a1503c,62a1503c,3abc503c,3abc503c,c543503c,c543503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
7,7,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0c541503c3abe503c62a0503c9d5f503cc545503c3aba503c62a2503c9d5d503c,9d5d503c,9d5d503c,62a2503c,62a2503c,3aba503c,3aba503c,c545503c,c545503c,9d5f503c,9d5f503c,62a0503c,62a0503c,3abe503c,3abe503c,c541503c,c541503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
8,8,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3aa0c53f503c3ac0503c629f503c9d60503cc543503c3abc503c62a1503c9d5e503c,9d5e503c,9d5e503c,62a1503c,62a1503c,3abc503c,3abc503c,c543503c,c543503c,9d60503c,9d60503c,629f503c,629f503c,3ac0503c,3ac0503c,c53f503c,c53f503c,0,0,e3aa,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
