Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[325:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,83f1bc3c,0083ffc03ffffffea083f4bc3c83f4bc3c83f4bc3c83f4bc3c83f1bc3c83f1bc3c418191d883f1bc3c,418191d8,83f1bc3c,83f1bc3c,83f4bc3c,83f4bc3c,83f4bc3c,83f4bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
1,1,0,83f2bc3c,0083ffc03ffffffea083f5bc3c83f5bc3c83f5bc3c83f5bc3c83f2bc3c83f2bc3c018191d983f2bc3c,018191d9,83f2bc3c,83f2bc3c,83f5bc3c,83f5bc3c,83f5bc3c,83f5bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
2,2,0,83f3bc3c,0083ffc03fffffffb083f6bc3c83f6bc3c83f6bc3c83f6bc3c83f3bc3c83f3bc3c4181918983f3bc3c,41819189,83f3bc3c,83f3bc3c,83f6bc3c,83f6bc3c,83f6bc3c,83f6bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
3,3,0,83f4bc3c,0083ffc03fffffffb083f7bc3c83f7bc3c83f7bc3c83f7bc3c83f4bc3c83f4bc3c018191da83f4bc3c,018191da,83f4bc3c,83f4bc3c,83f7bc3c,83f7bc3c,83f7bc3c,83f7bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
4,4,0,83f5bc3c,0083ffc03ffffffeb083f8bc3c83f8bc3c83f8bc3c83f8bc3c83f5bc3c83f5bc3c4181918a83f5bc3c,4181918a,83f5bc3c,83f5bc3c,83f8bc3c,83f8bc3c,83f8bc3c,83f8bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
5,5,0,83f6bc3c,0083ffc03ffffffea083f9bc3c83f9bc3c83f9bc3c83f9bc3c83f6bc3c83f6bc3c018191eb83f6bc3c,018191eb,83f6bc3c,83f6bc3c,83f9bc3c,83f9bc3c,83f9bc3c,83f9bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
6,6,0,83f7bc3c,0083ffc03ffffffea083fabc3c83fabc3c83fabc3c83fabc3c83f7bc3c83f7bc3c0181b16b83f7bc3c,0181b16b,83f7bc3c,83f7bc3c,83fabc3c,83fabc3c,83fabc3c,83fabc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
7,7,0,83f8bc3c,0083ffc03fffffffb083fbbc3c83fbbc3c83fbbc3c83fbbc3c83f8bc3c83f8bc3c0181b17983f8bc3c,0181b179,83f8bc3c,83f8bc3c,83fbbc3c,83fbbc3c,83fbbc3c,83fbbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
8,8,0,83f9bc3c,0083ffc03fffffffb083fcbc3c83fcbc3c83fcbc3c83fcbc3c83f9bc3c83f9bc3c4181b10c83f9bc3c,4181b10c,83f9bc3c,83f9bc3c,83fcbc3c,83fcbc3c,83fcbc3c,83fcbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
9,9,0,83fabc3c,0083ffc03ffffffeb083fdbc3c83fdbc3c83fdbc3c83fdbc3c83fabc3c83fabc3c0181b16d83fabc3c,0181b16d,83fabc3c,83fabc3c,83fdbc3c,83fdbc3c,83fdbc3c,83fdbc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
10,10,0,83fbbc3c,0083ffc03ffffffea083febc3c83febc3c83febc3c83febc3c83fbbc3c83fbbc3c4181919283fbbc3c,41819192,83fbbc3c,83fbbc3c,83febc3c,83febc3c,83febc3c,83febc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
11,11,0,83fcbc3c,0083ffc03ffffffea083ffbc3c83ffbc3c83ffbc3c83ffbc3c83fcbc3c83fcbc3c0181b16e83fcbc3c,0181b16e,83fcbc3c,83fcbc3c,83ffbc3c,83ffbc3c,83ffbc3c,83ffbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
12,12,0,83fdbc3c,0083ffc03fffffffb08400bc3c8400bc3c8400bc3c8400bc3c83fdbc3c83fdbc3c0181b16e83fdbc3c,0181b16e,83fdbc3c,83fdbc3c,8400bc3c,8400bc3c,8400bc3c,8400bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
13,13,0,83febc3c,0083ffc03fffffffb08401bc3c8401bc3c8401bc3c8401bc3c83febc3c83febc3c018191f083febc3c,018191f0,83febc3c,83febc3c,8401bc3c,8401bc3c,8401bc3c,8401bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
14,14,0,83ffbc3c,0083ffc03ffffffeb08402bc3c8402bc3c8402bc3c8402bc3c83ffbc3c83ffbc3c4181918583ffbc3c,41819185,83ffbc3c,83ffbc3c,8402bc3c,8402bc3c,8402bc3c,8402bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
15,15,0,8400bc3c,0083ffc03ffffffea08403bc3c8403bc3c8403bc3c8403bc3c8400bc3c8400bc3c0181aac38400bc3c,0181aac3,8400bc3c,8400bc3c,8403bc3c,8403bc3c,8403bc3c,8403bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
16,16,0,8401bc3c,0083ffc03ffffffea08404bc3c8404bc3c8404bc3c8404bc3c8401bc3c8401bc3c4181aad78401bc3c,4181aad7,8401bc3c,8401bc3c,8404bc3c,8404bc3c,8404bc3c,8404bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
17,17,0,8402bc3c,0083ffc03fffffffb08405bc3c8405bc3c8405bc3c8405bc3c8402bc3c8402bc3c0181aac98402bc3c,0181aac9,8402bc3c,8402bc3c,8405bc3c,8405bc3c,8405bc3c,8405bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
18,18,0,8403bc3c,0083ffc03fffffffb08406bc3c8406bc3c8406bc3c8406bc3c8403bc3c8403bc3c418115218403bc3c,41811521,8403bc3c,8403bc3c,8406bc3c,8406bc3c,8406bc3c,8406bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
19,19,0,8404bc3c,0083ffc03ffffffeb08407bc3c8407bc3c8407bc3c8407bc3c8404bc3c8404bc3c0181aaca8404bc3c,0181aaca,8404bc3c,8404bc3c,8407bc3c,8407bc3c,8407bc3c,8407bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
20,20,0,8405bc3c,0083ffc03ffffffea08408bc3c8408bc3c8408bc3c8408bc3c8405bc3c8405bc3c418115228405bc3c,41811522,8405bc3c,8405bc3c,8408bc3c,8408bc3c,8408bc3c,8408bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
21,21,0,8406bc3c,0083ffc03ffffffea08409bc3c8409bc3c8409bc3c8409bc3c8406bc3c8406bc3c018115338406bc3c,01811533,8406bc3c,8406bc3c,8409bc3c,8409bc3c,8409bc3c,8409bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
22,22,0,8407bc3c,0083ffc03fffffffb0840abc3c840abc3c840abc3c840abc3c8407bc3c8407bc3c4181153c8407bc3c,4181153c,8407bc3c,8407bc3c,840abc3c,840abc3c,840abc3c,840abc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
23,23,0,8408bc3c,0083ffc03fffffffb0840bbc3c840bbc3c840bbc3c840bbc3c8408bc3c8408bc3c418115338408bc3c,41811533,8408bc3c,8408bc3c,840bbc3c,840bbc3c,840bbc3c,840bbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
24,24,0,8409bc3c,0083ffc03ffffffeb0840cbc3c840cbc3c840cbc3c840cbc3c8409bc3c8409bc3c4181aad48409bc3c,4181aad4,8409bc3c,8409bc3c,840cbc3c,840cbc3c,840cbc3c,840cbc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
25,25,0,840abc3c,0083ffc03ffffffea0840dbc3c840dbc3c840dbc3c840dbc3c840abc3c840abc3c0181aadf840abc3c,0181aadf,840abc3c,840abc3c,840dbc3c,840dbc3c,840dbc3c,840dbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
26,26,0,840bbc3c,0083ffc03ffffffea0840ebc3c840ebc3c840ebc3c840ebc3c840bbc3c840bbc3c4181aac5840bbc3c,4181aac5,840bbc3c,840bbc3c,840ebc3c,840ebc3c,840ebc3c,840ebc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
27,27,0,840cbc3c,0083ffc03fffffffb0840fbc3c840fbc3c840fbc3c840fbc3c840cbc3c840cbc3c0181aad0840cbc3c,0181aad0,840cbc3c,840cbc3c,840fbc3c,840fbc3c,840fbc3c,840fbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
28,28,0,840dbc3c,0083ffc03fffffffb08410bc3c8410bc3c8410bc3c8410bc3c840dbc3c840dbc3c41811520840dbc3c,41811520,840dbc3c,840dbc3c,8410bc3c,8410bc3c,8410bc3c,8410bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
29,29,0,840ebc3c,0083ffc03ffffffeb08411bc3c8411bc3c8411bc3c8411bc3c840ebc3c840ebc3c01811527840ebc3c,01811527,840ebc3c,840ebc3c,8411bc3c,8411bc3c,8411bc3c,8411bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
30,30,0,840fbc3c,0083ffc03ffffffea08412bc3c8412bc3c8412bc3c8412bc3c840fbc3c840fbc3c4181aadd840fbc3c,4181aadd,840fbc3c,840fbc3c,8412bc3c,8412bc3c,8412bc3c,8412bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
31,31,0,8410bc3c,0083ffc03ffffffea08413bc3c8413bc3c8413bc3c8413bc3c8410bc3c8410bc3c4181aadb8410bc3c,4181aadb,8410bc3c,8410bc3c,8413bc3c,8413bc3c,8413bc3c,8413bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
32,32,0,8411bc3c,0083ffc03fffffffb08414bc3c8414bc3c8414bc3c8414bc3c8411bc3c8411bc3c4181aac78411bc3c,4181aac7,8411bc3c,8411bc3c,8414bc3c,8414bc3c,8414bc3c,8414bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
33,33,0,8412bc3c,0083ffc03fffffffb08415bc3c8415bc3c8415bc3c8415bc3c8412bc3c8412bc3c018115398412bc3c,01811539,8412bc3c,8412bc3c,8415bc3c,8415bc3c,8415bc3c,8415bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
34,34,0,8413bc3c,0083ffc03ffffffeb08416bc3c8416bc3c8416bc3c8416bc3c8413bc3c8413bc3c418115308413bc3c,41811530,8413bc3c,8413bc3c,8416bc3c,8416bc3c,8416bc3c,8416bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
35,35,0,8414bc3c,0083ffc03ffffffea08417bc3c8417bc3c8417bc3c8417bc3c8414bc3c8414bc3c0181153a8414bc3c,0181153a,8414bc3c,8414bc3c,8417bc3c,8417bc3c,8417bc3c,8417bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
36,36,0,8415bc3c,0083ffc03ffffffea08418bc3c8418bc3c8418bc3c8418bc3c8415bc3c8415bc3c4181153f8415bc3c,4181153f,8415bc3c,8415bc3c,8418bc3c,8418bc3c,8418bc3c,8418bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
37,37,0,8416bc3c,0083ffc03fffffffb08419bc3c8419bc3c8419bc3c8419bc3c8416bc3c8416bc3c0181152b8416bc3c,0181152b,8416bc3c,8416bc3c,8419bc3c,8419bc3c,8419bc3c,8419bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
