Sample in Buffer,Sample in Window,TRIGGER,ila_data[717:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c2603c94c2603c94c2603c94c2603c94bf603c94bf603c94bf603c94bf603c,94bf603c,94bf603c,94bf603c,94bf603c,94c2603c,94c2603c,94c2603c,94c2603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
1,1,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c3603c94c3603c94c3603c94c3603c94c0603c94c0603c94c0603c94c0603c,94c0603c,94c0603c,94c0603c,94c0603c,94c3603c,94c3603c,94c3603c,94c3603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
2,2,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c4603c94c4603c94c4603c94c4603c94c1603c94c1603c94c1603c94c1603c,94c1603c,94c1603c,94c1603c,94c1603c,94c4603c,94c4603c,94c4603c,94c4603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
3,3,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c5603c94c5603c94c5603c94c5603c94c2603c94c2603c94c2603c94c2603c,94c2603c,94c2603c,94c2603c,94c2603c,94c5603c,94c5603c,94c5603c,94c5603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
4,4,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c6603c94c6603c94c6603c94c6603c94c3603c94c3603c94c3603c94c3603c,94c3603c,94c3603c,94c3603c,94c3603c,94c6603c,94c6603c,94c6603c,94c6603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
5,5,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c7603c94c7603c94c7603c94c7603c94c4603c94c4603c94c4603c94c4603c,94c4603c,94c4603c,94c4603c,94c4603c,94c7603c,94c7603c,94c7603c,94c7603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
6,6,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c8603c94c8603c94c8603c94c8603c94c5603c94c5603c94c5603c94c5603c,94c5603c,94c5603c,94c5603c,94c5603c,94c8603c,94c8603c,94c8603c,94c8603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
7,7,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c9603c94c9603c94c9603c94c9603c94c6603c94c6603c94c6603c94c6603c,94c6603c,94c6603c,94c6603c,94c6603c,94c9603c,94c9603c,94c9603c,94c9603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
8,8,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ca603c94ca603c94ca603c94ca603c94c7603c94c7603c94c7603c94c7603c,94c7603c,94c7603c,94c7603c,94c7603c,94ca603c,94ca603c,94ca603c,94ca603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
