Sample in Buffer,Sample in Window,TRIGGER,ila_data[513:0],userdata_rx_0[31:0],receiver_0[31:0],userdata_rx_1[31:0],receiver_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,ch0_rxctrl0_int[15:0],hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],ch0_rxctrl1_int[15:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],ch1_rxctrl1_int[15:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],ch2_rxctrl1_int[15:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],ch3_rxctrl1_int[15:0],txpostcursor_int[19:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],txprecursor_int[19:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],drpdo_int[63:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbbb0b41d503c4be2503cda0e503c25f1503c149fb0c39a2fb0c3eb60b0c365d0b0c3,65d0b0c3,65d0b0c3,eb60b0c3,eb60b0c3,9a2fb0c3,9a2fb0c3,149fb0c3,149fb0c3,25f1503c,25f1503c,da0e503c,da0e503c,4be2503c,4be2503c,b41d503c,b41d503c,0,1,fbbb,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
1,1,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0b41b503c4be4503cda0d503c25f2503c149db0c39a31b0c3eb62b0c365ceb0c3,65ceb0c3,65ceb0c3,eb62b0c3,eb62b0c3,9a31b0c3,9a31b0c3,149db0c3,149db0c3,25f2503c,25f2503c,da0d503c,da0d503c,4be4503c,4be4503c,b41b503c,b41b503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
2,2,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0b419503c4be6503cda0c503c25f3503c149bb0c39a32b0c3eb64b0c365cdb0c3,65cdb0c3,65cdb0c3,eb64b0c3,eb64b0c3,9a32b0c3,9a32b0c3,149bb0c3,149bb0c3,25f3503c,25f3503c,da0c503c,da0c503c,4be6503c,4be6503c,b419503c,b419503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
3,3,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e2aa0b417503c4be8503cda0b503c25f4503c1486b0c39a33b0c3eb79b0c365ccb0c3,65ccb0c3,65ccb0c3,eb79b0c3,eb79b0c3,9a33b0c3,9a33b0c3,1486b0c3,1486b0c3,25f4503c,25f4503c,da0b503c,da0b503c,4be8503c,4be8503c,b417503c,b417503c,0,0,e2aa,1,0,1,0,1,0,1,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
4,4,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbba0b415503c4bea503cda0a503c25f5503c1497b0c39a34b0c3eb68b0c365cbb0c3,65cbb0c3,65cbb0c3,eb68b0c3,eb68b0c3,9a34b0c3,9a34b0c3,1497b0c3,1497b0c3,25f5503c,25f5503c,da0a503c,da0a503c,4bea503c,4bea503c,b415503c,b415503c,0,0,fbba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
5,5,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbbb0b413503c4bec503cda09503c25f6503c148ab0c39a35b0c3eb75b0c365cab0c3,65cab0c3,65cab0c3,eb75b0c3,eb75b0c3,9a35b0c3,9a35b0c3,148ab0c3,148ab0c3,25f6503c,25f6503c,da09503c,da09503c,4bec503c,4bec503c,b413503c,b413503c,0,1,fbbb,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
6,6,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0b411503c4bee503cda08503c25f7503c148cb0c39a36b0c3eb73b0c365c9b0c3,65c9b0c3,65c9b0c3,eb73b0c3,eb73b0c3,9a36b0c3,9a36b0c3,148cb0c3,148cb0c3,25f7503c,25f7503c,da08503c,da08503c,4bee503c,4bee503c,b411503c,b411503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
7,7,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0b40f503c4bf0503cda07503c25f8503c148eb0c39a28b0c3eb71b0c365d7b0c3,65d7b0c3,65d7b0c3,eb71b0c3,eb71b0c3,9a28b0c3,9a28b0c3,148eb0c3,148eb0c3,25f8503c,25f8503c,da07503c,da07503c,4bf0503c,4bf0503c,b40f503c,b40f503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
8,8,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e2aa0b40d503c4bf2503cda06503c25f9503c148fb0c39a27b0c3eb70b0c365d8b0c3,65d8b0c3,65d8b0c3,eb70b0c3,eb70b0c3,9a27b0c3,9a27b0c3,148fb0c3,148fb0c3,25f9503c,25f9503c,da06503c,da06503c,4bf2503c,4bf2503c,b40d503c,b40d503c,0,0,e2aa,1,0,1,0,1,0,1,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
