Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3b06d91503c926e503cb6c8503c4937503cea36b0c365e4b0c315c9b0c39a1bb0c3,9a1bb0c3,15c9b0c3,65e4b0c3,ea36b0c3,4937503c,b6c8503c,926e503c,6d91503c,0,1,1,0,1,1,1
1,1,0,3b06d8f503c9270503cb6c7503c4938503cea27b0c365fcb0c315d8b0c39a03b0c3,9a03b0c3,15d8b0c3,65fcb0c3,ea27b0c3,4938503c,b6c7503c,9270503c,6d8f503c,0,1,1,0,1,1,1
2,2,0,3a06d8d503c9272503cb6c6503c4939503cea3ab0c365e2b0c315c5b0c39a1db0c3,9a1db0c3,15c5b0c3,65e2b0c3,ea3ab0c3,4939503c,b6c6503c,9272503c,6d8d503c,0,0,1,0,1,1,1
3,3,0,2a06d8b503c9274503cb6c5503c493a503cea3cb0c365e1b0c315c3b0c39a1eb0c3,9a1eb0c3,15c3b0c3,65e1b0c3,ea3cb0c3,493a503c,b6c5503c,9274503c,6d8b503c,0,0,1,0,1,0,1
4,4,0,2b06d89503c9276503cb6c4503c493b503cea21b0c365e0b0c315deb0c39a1fb0c3,9a1fb0c3,15deb0c3,65e0b0c3,ea21b0c3,493b503c,b6c4503c,9276503c,6d89503c,0,1,1,0,1,0,1
5,5,0,3b06d87503c9278503cb6c3503c493c503cea5fb0c3653fb0c315a0b0c39ac0b0c3,9ac0b0c3,15a0b0c3,653fb0c3,ea5fb0c3,493c503c,b6c3503c,9278503c,6d87503c,0,1,1,0,1,1,1
6,6,0,3b06d85503c927a503cb6c2503c493d503cea5db0c3653eb0c315a2b0c39ac1b0c3,9ac1b0c3,15a2b0c3,653eb0c3,ea5db0c3,493d503c,b6c2503c,927a503c,6d85503c,0,1,1,0,1,1,1
7,7,0,3a06d83503c927c503cb6c1503c493e503cea5bb0c3653db0c315a4b0c39ac2b0c3,9ac2b0c3,15a4b0c3,653db0c3,ea5bb0c3,493e503c,b6c1503c,927c503c,6d83503c,0,0,1,0,1,1,1
8,8,0,2a06d81503c927e503cb6c0503c493f503cea46b0c36523b0c315b9b0c39adcb0c3,9adcb0c3,15b9b0c3,6523b0c3,ea46b0c3,493f503c,b6c0503c,927e503c,6d81503c,0,0,1,0,1,0,1
