Sample in Buffer,Sample in Window,TRIGGER,ila_data[831:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000000b9def9e579e4f9e4cbde0ab29b80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfa843a93fa843a93fa843a93fa843a93f17d2a5f3e56b8759e56b875917d2a5f3,17d2a5f3,e56b8759,e56b8759,17d2a5f3,a843a93f,a843a93f,a843a93f,a843a93f,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca6e,e793,e793,e795,e77b,2,0,0,00000,00000
1,1,0,000000000000000b9def9e579e4f9e4cbde0ab29d40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf1d0dada51d0dada51d0dada51d0dada54383aa033a06105e3a06105e4383aa03,4383aa03,3a06105e,3a06105e,4383aa03,1d0dada5,1d0dada5,1d0dada5,1d0dada5,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca75,e793,e793,e795,e77b,2,0,0,00000,00000
2,2,0,000000000000000b9def9e579e4f9e4cbde0ab29f40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf084b01a5084b01a5084b01a5084b01a59bba6c0b1b996f3a1b996f3a9bba6c0b,9bba6c0b,1b996f3a,1b996f3a,9bba6c0b,084b01a5,084b01a5,084b01a5,084b01a5,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca7d,e793,e793,e795,e77b,2,0,0,00000,00000
3,3,0,000000000000000b9def9e579e4f9e4cbde0ab2a140000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf52f364f352f364f352f364f352f364f3defd2aa90d6eb8010d6eb801defd2aa9,defd2aa9,0d6eb801,0d6eb801,defd2aa9,52f364f3,52f364f3,52f364f3,52f364f3,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca85,e793,e793,e795,e77b,2,0,0,00000,00000
4,4,0,000000000000000b9def9e579e4f9e4cbde0ab2a340000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebff5047752f5047752f5047752f5047752b26fbaf4296cd910094cd930f14dbed4,f14dbed4,094cd930,296cd910,b26fbaf4,f5047752,f5047752,f5047752,f5047752,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca8d,e793,e793,e795,e77b,2,0,0,00000,00000
5,5,0,000000000000000b9def9e579e4f9e4cbde0ab2a540000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfe62778abe62778abe62778abe62778abd8382804ce60697dce60697dd8382804,d8382804,ce60697d,ce60697d,d8382804,e62778ab,e62778ab,e62778ab,e62778ab,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca95,e793,e793,e795,e77b,2,0,0,00000,00000
6,6,0,000000000000000b9def9e579e4f9e4cbde0ab2a700000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf5d97eca75d97eca75d97eca75d97eca74c47aeaadd185240dd1852404c47aeaa,4c47aeaa,dd185240,dd185240,4c47aeaa,5d97eca7,5d97eca7,5d97eca7,5d97eca7,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782aca9c,e793,e793,e795,e77b,2,0,0,00000,00000
7,7,0,000000000000000b9def9e579e4f9e4cbde0ab2a900000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf2d4f1f752d4f1f752d4f1f752d4f1f7562abea11a880b456a880b45662abea11,62abea11,a880b456,a880b456,62abea11,2d4f1f75,2d4f1f75,2d4f1f75,2d4f1f75,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782acaa4,e793,e793,e795,e77b,2,0,0,00000,00000
8,8,0,000000000000000b9def9e579e4f9e4cbde0ab2ab00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffafa7b53a19a7b53a19a7b53a19a7b53a19011de0435f60d1da5f60d1da011de043,011de043,5f60d1da,5f60d1da,011de043,a7b53a19,a7b53a19,a7b53a19,a7b53a19,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782acaac,e793,e793,e795,e77b,2,0,0,00000,00000
