Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,045b4455444e04479a5545f4b1c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582ea2b0f54c503cf54c503cf54c503cf54c503cad503c92ad503c92ad503c92ad503c92,ad503c92,ad503c92,ad503c92,ad503c92,f54c503c,f54c503c,f54c503c,f54c503c,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2c7,111e,1138,1155,116d
1,1,0,045d4457445004499a5545f4b3c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0faa6503cfaa6503cfaa6503cfaa6503cd6503cc9d6503cc9d6503cc9d6503cc9,d6503cc9,d6503cc9,d6503cc9,d6503cc9,faa6503c,faa6503c,faa6503c,faa6503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2cf,1126,1140,115d,1175
2,2,0,045f44594452044b9a5545f4b5c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e3ba0fd53503cfd53503cfd53503cfd53503c6b503c646b503c646b503c646b503c64,6b503c64,6b503c64,6b503c64,6b503c64,fd53503c,fd53503c,fd53503c,fd53503c,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2d7,112e,1148,1165,117d
3,3,0,0461445b4454044d9a5545f4b7c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb0fea9503cfea9503cfea9503cfea9503cb5503cb2b5503cb2b5503cb2b5503cb2,b5503cb2,b5503cb2,b5503cb2,b5503cb2,fea9503c,fea9503c,fea9503c,fea9503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2df,1136,1150,116d,1185
4,4,0,0463445d4456044f9a5545f4b9c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fabb0cee9503ccee9503ccee9503c7ee9503c23503c8523503c8523503c8523503c85,23503c85,23503c85,23503c85,23503c85,7ee9503c,cee9503c,cee9503c,cee9503c,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2e7,113e,1158,1175,118d
5,5,0,0465045f0457c4515a5545f4bb80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582ea2b06774503c6774503c6774503c6774503c91503cc291503cc291503cc291503cc2,91503cc2,91503cc2,91503cc2,91503cc2,6774503c,6774503c,6774503c,6774503c,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2ee,1145,115f,117c,1194
6,6,0,046704610459c4535a5545f4bd80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22a033ba503c33ba503c33ba503c33ba503c48503ce148503ce148503ce148503ce1,48503ce1,48503ce1,48503ce1,48503ce1,33ba503c,33ba503c,33ba503c,33ba503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2f6,114d,1167,1184,119c
7,7,0,04690463045bc4555a5545f4bf80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e3ba099dd503c99dd503c99dd503c99dd503c24503c7024503c7024503c7024503c70,24503c70,24503c70,24503c70,24503c70,99dd503c,99dd503c,99dd503c,99dd503c,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d2fe,1155,116f,118c,11a4
8,8,0,046b0465045dc4575a5545f4c180000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb04cee503c4cee503c4cee503c4cee503c92503c3892503c3892503c3892503c38,92503c38,92503c38,92503c38,92503c38,4cee503c,4cee503c,4cee503c,4cee503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517d306,115d,1177,1194,11ac
