Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000083e3a9eb7503c9eb7503c8095503c7f6a42de069ed700503c8097503c7f68503c,7f68503c,7f68503c,8097503c,8097503c,d700503c,d700503c,42de069e,42de069e,503c7f6a,503c7f6a,503c8095,503c8095,503c9eb7,503c9eb7,3e3a9eb7,3e3a9eb7,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
1,1,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000828e1e722503ce722503c8094503c7f6b50edd8350f3a503c8096503c7f69503c,7f69503c,7f69503c,8096503c,8096503c,0f3a503c,0f3a503c,50edd835,50edd835,503c7f6b,503c7f6b,503c8094,503c8094,503ce722,503ce722,28e1e722,28e1e722,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
2,2,0,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008d081fdc0503cfdc0503c8093503c7f6ca54e997dcd41503c8095503c7f6a503c,7f6a503c,7f6a503c,8095503c,8095503c,cd41503c,cd41503c,a54e997d,a54e997d,503c7f6c,503c7f6c,503c8093,503c8093,503cfdc0,503cfdc0,d081fdc0,d081fdc0,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
3,3,0,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008c7529007503c9007503c8092503c7f6d3c8de041b9e3503c8094503c7f6b503c,7f6b503c,7f6b503c,8094503c,8094503c,b9e3503c,b9e3503c,3c8de041,3c8de041,503c7f6d,503c7f6d,503c8092,503c8092,503c9007,503c9007,c7529007,c7529007,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
4,4,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000088c1e87e1503c87e1503c8091503c7f6edf7516b615ec503c8093503c7f6c503c,7f6c503c,7f6c503c,8093503c,8093503c,15ec503c,15ec503c,df7516b6,df7516b6,503c7f6e,503c7f6e,503c8091,503c8091,503c87e1,503c87e1,8c1e87e1,8c1e87e1,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
5,5,0,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008cba1489f503c489f503c8090503c7f6f10f18ee547e4503c8092503c7f6d503c,7f6d503c,7f6d503c,8092503c,8092503c,47e4503c,47e4503c,10f18ee5,10f18ee5,503c7f6f,503c7f6f,503c8090,503c8090,503c489f,503c489f,cba1489f,cba1489f,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
6,6,0,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000084d88320c503c320c503c808f503c7f7024195646fe5e503c8091503c7f6e503c,7f6e503c,7f6e503c,8091503c,8091503c,fe5e503c,fe5e503c,24195646,24195646,503c7f70,503c7f70,503c808f,503c808f,503c320c,503c320c,4d88320c,4d88320c,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
7,7,0,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008afec988b503c988b503c808e503c7f7140afbdf2bd51503c8090503c7f6f503c,7f6f503c,7f6f503c,8090503c,8090503c,bd51503c,bd51503c,40afbdf2,40afbdf2,503c7f71,503c7f71,503c808e,503c808e,503c988b,503c988b,afec988b,afec988b,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
8,8,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000087c9120f7503c20f7503c808d503c7f728f43477dcfcc503c808f503c7f70503c,7f70503c,7f70503c,808f503c,808f503c,cfcc503c,cfcc503c,8f43477d,8f43477d,503c7f72,503c7f72,503c808d,503c808d,503c20f7,503c20f7,7c9120f7,7c9120f7,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
