Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000f12d61d20ffc03fc0000000000000000000000000033333c003fc3fc00034160b0582fa2bf18207f5418207f5418207f5418207f5444f1430444f1430444f1430444f14304,44f14304,44f14304,44f14304,44f14304,18207f54,18207f54,18207f54,18207f54,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,d,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b587483,0000,0000,0000,0000
1,1,0,00000000000000000f12d61d22ffc03fc0000000000000000000000000033333c003fc3fc0003c160b0582fbbbf86081fd586081fd586081fd586081fd503faa67703faa67703faa67703faa677,03faa677,03faa677,03faa677,03faa677,86081fd5,86081fd5,86081fd5,86081fd5,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b58748b,0000,0000,0000,0000
2,2,0,00000000000000000f12d61d24bfc03fc0000000000000000000000000033333c003fc3fc0003c160b0582e3bbfa18207f5a18207f5a18207f5a18207f540fea99d40fea99d40fea99d40fea99d,40fea99d,40fea99d,40fea99d,40fea99d,a18207f5,a18207f5,a18207f5,a18207f5,f,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b587492,0000,0000,0000,0000
3,3,0,00000000000000000f12d61d26bfc03fc0000000000000000000000000033333c003fc3fc0003c160b0582e23af533ba58d533ba58d533ba58d533ba58d103faa67103faa67103faa67103faa67,103faa67,103faa67,103faa67,103faa67,533ba58d,533ba58d,533ba58d,533ba58d,f,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b58749a,0000,0000,0000,0000
4,4,0,00000000000000000f12d61d28bfc03fc0000000000000000000000000033333c003fc3fc0003c160b0582e22af54cee96354cee96354cee96354cee963040fea99040fea99040fea99040fea99,040fea99,040fea99,040fea99,040fea99,54cee963,54cee963,54cee963,54cee963,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b5874a2,0000,0000,0000,0000
5,5,0,00000000000000000f12d61d2abfc03fc0000000000000000000000000033333c003fc3fc0003c160b0582fa2bfd533ba58d533ba58d533ba58d533ba58c103faa6c103faa6c103faa6c103faa6,c103faa6,c103faa6,c103faa6,c103faa6,d533ba58,d533ba58,d533ba58,d533ba58,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b5874aa,0000,0000,0000,0000
6,6,0,00000000000000000f12d61d2cbfc03fc0000000000000000000000000033333c003fc3fc00034160b0582fbbbff54cee96f54cee96f54cee96f54cee969dd2c6f69dd2c6f69dd2c6f69dd2c6f6,9dd2c6f6,9dd2c6f6,9dd2c6f6,9dd2c6f6,f54cee96,f54cee96,f54cee96,f54cee96,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,d,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b5874b2,0000,0000,0000,0000
7,7,0,00000000000000000f12d61d2e7fc03fc0000000000000000000000000033333c003fc3fc0003c160b0582e3bbffd533ba5fd533ba5fd533ba5fd533ba56774b1bd6774b1bd6774b1bd6774b1bd,6774b1bd,6774b1bd,6774b1bd,6774b1bd,fd533ba5,fd533ba5,fd533ba5,fd533ba5,f,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b5874b9,0000,0000,0000,0000
8,8,0,00000000000000000f12d61d307fc03fc0000000000000000000000000033333c003fc3fc00034160b0582e23af637b5b24637b5b24637b5b24637b5b2499dd2c6f99dd2c6f99dd2c6f99dd2c6f,99dd2c6f,99dd2c6f,99dd2c6f,99dd2c6f,637b5b24,637b5b24,637b5b24,637b5b24,f,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0582c160b,d,0,0,0,0,f,f,0,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,3c4b5874c1,0000,0000,0000,0000
