Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[313:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,47be503c,3ffc01fffffffa047c1503c47c1503c47c1503c47c1503cfdc09ab2c257a10847be503c47be503c,47be503c,c257a108,fdc09ab2,47c1503c,47c1503c,47c1503c,47c1503c,0,0,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
1,1,0,47bf503c,3ffc01ffffffea047c2503c47c2503c47c2503c47c2503cfd8a9ab24257a10247bf503c47bf503c,47bf503c,4257a102,fd8a9ab2,47c2503c,47c2503c,47c2503c,47c2503c,0,0,1,0,1,0,1,f,f,f,f,f,f,7,0,0,f,f,f
2,2,0,47c0503c,3ffc01ffffffeb047c3503c47c3503c47c3503c47c3503cfdfa9ab24257a11e47c0503c47c0503c,47c0503c,4257a11e,fdfa9ab2,47c3503c,47c3503c,47c3503c,47c3503c,0,1,1,0,1,0,1,f,f,f,f,f,f,7,0,0,f,f,f
3,3,0,47c1503c,3ffc01fffffffb047c4503c47c4503c47c4503c47c4503cfd209ab2c257a11b47c1503c47c1503c,47c1503c,c257a11b,fd209ab2,47c4503c,47c4503c,47c4503c,47c4503c,0,1,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
4,4,0,47c2503c,3ffc01fffffffa047c5503c47c5503c47c5503c47c5503cfd3f9ab24257a11b47c2503c47c2503c,47c2503c,4257a11b,fd3f9ab2,47c5503c,47c5503c,47c5503c,47c5503c,0,0,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
5,5,0,47c3503c,3ffc01fffffffa047c6503c47c6503c47c6503c47c6503cfd4ee6b2fdd7016847c3503c47c3503c,47c3503c,fdd70168,fd4ee6b2,47c6503c,47c6503c,47c6503c,47c6503c,0,0,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
6,6,0,47c4503c,3ffc01ffffffea047c7503c47c7503c47c7503c47c7503cfd229ab20257a10547c4503c47c4503c,47c4503c,0257a105,fd229ab2,47c7503c,47c7503c,47c7503c,47c7503c,0,0,1,0,1,0,1,f,f,f,f,f,f,7,0,0,f,f,f
7,7,0,47c5503c,3ffc01ffffffeb047c8503c47c8503c47c8503c47c8503cff56e6b2dbd7016947c5503c47c5503c,47c5503c,dbd70169,ff56e6b2,47c8503c,47c8503c,47c8503c,47c8503c,0,1,1,0,1,0,1,f,f,f,f,f,f,7,0,0,f,f,f
8,8,0,47c6503c,3ffc01fffffffb047c9503c47c9503c47c9503c47c9503c9e5a9ab24257a10947c6503c47c6503c,47c6503c,4257a109,9e5a9ab2,47c9503c,47c9503c,47c9503c,47c9503c,0,1,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
9,9,0,47c7503c,3ffc01fffffffa047ca503c47ca503c47ca503c47ca503c9e9d9ab20257a11e47c7503c47c7503c,47c7503c,0257a11e,9e9d9ab2,47ca503c,47ca503c,47ca503c,47ca503c,0,0,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
10,10,0,47c8503c,3ffc01fffffffa047cb503c47cb503c47cb503c47cb503c9e5ee6b2fdd7016947c8503c47c8503c,47c8503c,fdd70169,9e5ee6b2,47cb503c,47cb503c,47cb503c,47cb503c,0,0,1,0,1,1,1,f,f,f,f,f,f,7,0,0,f,f,f
11,11,0,47c9503c,3ffc01ffffffea047cc503c47cc503c47cc503c47cc503c9e469ab2c257a10a47c9503c47c9503c,47c9503c,c257a10a,9e469ab2,47cc503c,47cc503c,47cc503c,47cc503c,0,0,1,0,1,0,1,f,f,f,f,f,f,7,0,0,f,f,f
