Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000000000000000000000000003c3cbe7d8000000000000000c000400100000000800040003fc003c0000000000000000000000000033333c003ffffc0000016000582fbab0e05b503c1fa4503cf02d503c0fd2503ceed3c91459c2b39c56420070b75753b5,b75753b5,56420070,59c2b39c,eed3c914,0fd2503c,f02d503c,1fa4503c,e05b503c,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0002,0000,0004,0001,0003,0000,00,00,00,00,f6,f9,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
1,1,0,00000000000000000000000000000000000000003c3cbe7cc000000000008000c001400000000000800040003fc003c0000000000000000000000000033333c003ffffc0000016000582ebbb0e059503c1fa6503cf02c503c0fd3503ceec46174591ab39c328c000f37647b52,37647b52,328c000f,591ab39c,eec46174,0fd3503c,f02c503c,1fa6503c,e059503c,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0002,0000,0000,0005,0003,0002,00,00,00,00,f3,f9,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
2,2,0,00000000000000000000000000000000000000003cbcbc7c8000000000008000c002400040008000800040003fc003c0000000000000000000000000033333c003ffffc0000016000582e2ba0e057503c1fa8503cf02b503c0fd4503ceec2a91459ddb39cee42007037647202,37647202,ee420070,59ddb39c,eec2a914,0fd4503c,f02b503c,1fa8503c,e057503c,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0002,0002,0001,0009,0003,0002,00,00,00,00,f2,f1,f2,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
3,3,0,00000000000000000000000000000000000000003c3cbe7c8000000000008000c001400040000000800040003fc003c0000000000000000000000000033333c003ffffc0000016000582f22a0e055503c1faa503cf02a503c0fd5503ceed58174590ab39c2a8c000f37647a22,37647a22,2a8c000f,590ab39c,eed58174,0fd5503c,f02a503c,1faa503c,e055503c,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0002,0000,0001,0005,0003,0002,00,00,00,00,f2,f9,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
4,4,0,00000000000000000000000000000000000000003c3cbe7c80000000000080004001400040000000800040003fc003c0000000000000000000000000033333c003ffffc0000016000582fa2b0e053503c1fac503cf029503c0fd6503ce455e1345912b39c268c000f37647aa2,37647aa2,268c000f,5912b39c,e455e134,0fd6503c,f029503c,1fac503c,e053503c,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0002,0000,0001,0005,0001,0002,00,00,00,00,f2,f9,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
5,5,0,00000000000000000000000000000000000000003c3dbe7d8000000000008003c001400140000000800040013fc003c0000000000000000000000000033333c003ffffc0000016000582fbbb0e051503c1fae503cf028503c0fd7503cf02969141ec2b39c628c000fb7db8502,b7db8502,628c000f,1ec2b39c,f0296914,0fd7503c,f028503c,1fae503c,e051503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0004,0001,0002,0000,0005,0005,000f,0002,00,00,00,00,f6,f9,f6,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
6,6,0,00000000000000000000000000000000000000003c3dbe7d8000000000028000c000400140000001800040013fc003c0000000000000000000000000033333c003ffffc0000016000582e3bb0e04f503c1fb0503cf027503c0fd8503cf037417459c2b39c6c420070b7db8c02,b7db8c02,6c420070,59c2b39c,f0374174,0fd8503c,f027503c,1fb0503c,e04f503c,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0004,0001,0006,0000,0005,0001,0003,000a,00,00,00,00,f6,f9,f6,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
7,7,0,00000000000000000000000000000000000000003c3cbc3c8000000000008000c001400040000000800000003fc003c0000000000000000000000000033333c003ffffc0000016000582e23a0e04d503c1fb2503cf026503c0fd9503cf0218914597fb39c1a8c006e37647922,37647922,1a8c006e,597fb39c,f0218914,0fd9503c,f026503c,1fb2503c,e04d503c,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,0002,0000,0001,0005,0003,0002,00,00,00,00,f2,f0,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
8,8,0,00000000000000000000000000000000000000003c3cbc3c8000000000008000c001400040000000800000003fc003c0000000000000000000000000033333c003ffffc0000016000582f22a0e04b503c1fb4503cf025503c0fda503cf021e9145962b39c168c006e376479a2,376479a2,168c006e,5962b39c,f021e914,0fda503c,f025503c,1fb4503c,e04b503c,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,0002,0000,0001,0005,0003,0002,00,00,00,00,f2,f0,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
