Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,26e167c160cba11c8c5bae614000000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0503cf143503cf143503cf143503cf143c3b0b0c3211cb0c3211cb0c3e559b0c3,e559b0c3,211cb0c3,211cb0c3,c3b0b0c3,503cf143,503cf143,503cf143,503cf143,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98500,8472,832e,9f05,9b85
1,1,0,26e367c360cda11e8c5bae614200000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e23a0503c8207503c8207503c4aa7503c5aa79ec8b0c36081b0c36081b0c3fdacb0c3,fdacb0c3,6081b0c3,6081b0c3,9ec8b0c3,503c5aa7,503c4aa7,503c8207,503c8207,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98508,847a,8336,9f0d,9b8d
2,2,0,26e527c520cf61204c5bae614400000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0503cc103503cc103503cc103503cc103c5abb0c3d0a0b0c3d0a0b0c3fe56b0c3,fe56b0c3,d0a0b0c3,d0a0b0c3,c5abb0c3,503cc103,503cc103,503cc103,503cc103,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98510,8481,833d,9f14,9b94
3,3,0,26e727c720d161224c5bae614600000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fb2b0503c6081503c6081503c6081503c608118c0b0c37fabb0c37fabb0c331f6b0c3,31f6b0c3,7fabb0c3,7fabb0c3,18c0b0c3,503c6081,503c6081,503c6081,503c6081,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98518,8489,8345,9f1c,9b9c
4,4,0,26e8e7c8e0d321240c5bae6147c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3bb0503c3040503c3040503c3040503c30401310b0c3df55b0c3df55b0c3676bb0c3,676bb0c3,df55b0c3,df55b0c3,1310b0c3,503c3040,503c3040,503c3040,503c3040,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9851f,8490,834c,9f23,9ba3
5,5,0,26eae7cae0d521260c5bae6149c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0503c1820503c1820503c1820503c18209908b0c31f2ab0c31f2ab0c3cc45b0c3,cc45b0c3,1f2ab0c3,1f2ab0c3,9908b0c3,503c1820,503c1820,503c1820,503c1820,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98527,8498,8354,9f2b,9bab
6,6,0,26ece7cce0d721280c5bae614bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3a0503c3faa503c3faa503c3faa503c3faabc04b0c30ff5b0c30ff5b0c3863db0c3,863db0c3,0ff5b0c3,0ff5b0c3,bc04b0c3,503c3faa,503c3faa,503c3faa,503c3faa,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9852f,84a0,835c,9f33,9bb3
7,7,0,26eee7cee0d9212a0c5bae614dc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0503c1fd5503c1fd5503c1fd5503c1fd507eab0c333e1b0c387e2b0c3b3f1b0c3,b3f1b0c3,87e2b0c3,33e1b0c3,07eab0c3,503c1fd5,503c1fd5,503c1fd5,503c1fd5,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb98537,84a8,8364,9f3b,9bbb
8,8,0,26f0e7d0e0db212c0c5bae614fc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ab0503c0fea503c0fea503c0fea503c0fea1ce5b0c35977b0c35977b0c3b41bb0c3,b41bb0c3,5977b0c3,5977b0c3,1ce5b0c3,503c0fea,503c0fea,503c0fea,503c0fea,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9853f,84b0,836c,9f43,9bc3
