Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,32c4266588ed2ae9458ecee25240000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22af15b5609315b5609315b5609315b56093e6391d74a280e092a280e092e6391d74,e6391d74,a280e092,a280e092,e6391d74,15b56093,15b56093,15b56093,15b56093,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8949,aba5,23b4,9996,cb10
1,1,0,32c4266588ed2ae9458ecee25440000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582f22afc4945320c4945320c4945320c4945320cf99267094cafea094cafea0cf992670,cf992670,94cafea0,94cafea0,cf992670,c4945320,c4945320,c4945320,c4945320,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8951,aba5,23b4,9996,cb10
2,2,0,32c4266588ed2ae9458ecee25640000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fb2bf63c7f8f163c7f8f163c7f8f163c7f8f1400bb80ccbfa9879cbfa9879400bb80c,400bb80c,cbfa9879,cbfa9879,400bb80c,63c7f8f1,63c7f8f1,63c7f8f1,63c7f8f1,f,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8959,aba5,23b4,9996,cb10
3,3,0,32c4266588ed2ae9458ecee25840000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582ebbbfbfbc440fbfbc440fbfbc440fbfbc440f4d456c3e6d891f236d891f234d456c3e,4d456c3e,6d891f23,6d891f23,4d456c3e,bfbc440f,bfbc440f,bfbc440f,bfbc440f,f,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8961,aba5,23b4,9996,cb10
4,4,0,32c4266588ed2ae9458ecee25a00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e2baf4f2e98e54f2e98e54d2e98e54f2e98e5b13ba5b06c71977c6c71977cb13ba5b0,b13ba5b0,6c71977c,6c71977c,b13ba5b0,4f2e98e5,4d2e98e5,4f2e98e5,4f2e98e5,f,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8968,aba5,23b4,9996,cb10
5,5,0,32c4266588ed2ae9458ecee25c00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582f22af902a8b64902a8b64902a8b64902a8b64ef3f53266693a35e6693a35eef3f5326,ef3f5326,6693a35e,6693a35e,ef3f5326,902a8b64,902a8b64,902a8b64,902a8b64,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8970,aba5,23b4,9996,cb10
6,6,0,32c4266588ed2ae9458ecee25e00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fa2bf8a87c78f8a87c78f8a87c78f8a87c78fe707e2ca8086793181467831c78363f2,c78363f2,81467831,80867931,e707e2ca,8a87c78f,8a87c78f,8a87c78f,8a87c78f,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8978,aba5,23b4,9996,cb10
7,7,0,32c4266588ed2ae9458ecee26000000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbbf0d6118780d6118780d6118780d611878ca4aa2e9467e04a5467e04a5ca4aa2e9,ca4aa2e9,467e04a5,467e04a5,ca4aa2e9,0d611878,0d611878,0d611878,0d611878,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8980,aba5,23b4,9996,cb10
8,8,0,32c4266588ed2ae9458ecee261c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582ebbbf026ff4a3026bfca3026bfca3026bfca31c4bb1f8301e9c1c301e9c1c1c4bb1f8,1c4bb1f8,301e9c1c,301e9c1c,1c4bb1f8,026bfca3,026bfca3,026bfca3,026ff4a3,f,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3b8987,aba5,23b4,9996,cb10
